"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/5","@DAL
      L",18,27,66.7,226,8.4,12.9,1,0,1,7,105.9,6,0,0,24,73,3,1,5,24,57,43,14,1,10,1,0,0,0,0,3,0,6,2,3,"66.7",0,0,0,"-",1,52,"52.0",0,52,3,22,"7.3",0,12,7,360,51.4,11,5,6,2,13,15.4,2,2,100,5,36,299,73,3,1,226,8.4,12.9,1,52,22,36,0,0,0,1,0
"12/30","ARI
      W",12,21,57.1,109,5.2,12.7,1,1,6,43,75.9,7,0,0,34,182,5.4,2,8,24,56,35,21,6,36,0,0,1,2,0,1,0,9,2,2,"100.0",0,3,3,"100.0",3,63,"21.0",0,26,0,0,"-",0,0,8,330,41.3,16,8,7,4,14,28.6,0,0,0,1,10,291,182,5.4,2,109,5.2,12.7,1,63,0,10,0,1,2,0,0
"12/23","KC
      W",18,29,62.1,254,8.8,15.1,3,0,3,17,127.2,15,0,0,43,210,4.9,2,11,31,54,33,21,1,8,0,0,3,2,0,3,0,8,1,2,"50.0",0,5,5,"100.0",1,32,"32.0",0,32,2,13,"6.5",0,10,3,104,34.7,31,11,15,7,14,50,0,0,0,3,20,464,210,4.9,2,254,8.8,15.1,3,32,13,20,0,0,2,0,0
"12/16","@SF
      L",23,31,74.2,217,7,10.3,2,0,3,20,117.3,12,0,0,35,168,4.8,1,5,26,50,41,9,3,18,0,0,1,1,0,2,0,5,1,1,"100.0",0,2,3,"66.7",2,21,"10.5",0,18,1,8,"8.0",0,8,8,426,53.3,18,5,12,9,19,47.4,1,1,100,14,148,385,168,4.8,1,217,7,10.3,2,21,8,148,0,0,1,0,0
"12/10","MIN
      W",10,20,50,60,3,7.2,0,1,2,12,37.9,4,0,0,42,214,5.1,1,13,7,48,35,13,2,9,0,0,1,1,1,5,0,7,2,2,"100.0",0,1,1,"100.0",0,0,"-",0,0,3,17,"5.7",0,12,5,220,44,19,13,4,3,11,27.3,1,1,100,4,45,274,214,5.1,1,60,3,7.2,0,0,17,45,0,1,1,0,0
"12/2","SF
      W",11,17,64.7,163,9.6,16.8,4,0,3,22,140.9,7,0,0,29,168,5.8,1,8,16,65,48,17,3,28,1,1,1,2,0,5,0,7,1,1,"100.0",0,4,6,"66.7",2,111,"55.5",0,84,1,-4,"-4.0",0,-4,4,199,49.8,21,8,7,4,9,44.4,0,0,0,10,100,331,168,5.8,1,163,9.6,16.8,4,111,-4,100,0,0,2,1,0
"11/25","@CAR
      W",22,31,71,322,10.4,15.4,2,0,2,17,128.3,13,0,0,28,75,2.7,1,7,27,63,35,28,0,0,1,0,4,0,0,2,0,12,3,3,"100.0",0,3,3,"100.0",0,0,"-",0,0,0,0,"-",0,0,3,158,52.7,21,7,13,6,14,42.9,2,2,100,4,36,397,75,2.7,1,322,10.4,15.4,2,0,0,36,0,0,0,1,0
"11/15","GB
      W",21,31,67.7,205,6.6,10.7,2,0,3,20,110.3,12,0,0,35,173,4.9,1,9,24,47,25,22,5,21,0,0,0,0,0,0,0,9,2,2,"100.0",0,3,3,"100.0",2,47,"23.5",0,27,0,0,"-",0,0,4,208,52,23,9,12,6,15,40,2,2,100,6,30,378,173,4.9,1,205,6.6,10.7,2,47,0,30,0,0,0,0,1
"11/11","@LAR
      L",17,26,65.4,141,5.4,10.4,3,0,4,35,123.2,9,0,0,34,273,8,1,15,36,51,41,10,2,11,0,0,0,0,0,1,0,7,1,1,"100.0",0,4,4,"100.0",1,21,"21.0",0,21,1,9,"9.0",0,9,3,165,55,29,15,9,2,9,22.2,0,1,0,7,56,414,273,8,1,141,5.4,10.4,3,21,9,56,0,0,0,0,1
"11/4","LAC
      L",26,39,66.7,202,5.2,9,2,1,4,33,89.2,10,0,0,32,154,4.8,0,11,25,47,26,21,2,13,0,0,0,0,0,9,0,5,1,2,"50.0",0,2,2,"100.0",3,69,"23.0",0,34,3,4,"1.3",0,6,6,317,52.8,25,11,10,4,15,26.7,3,3,100,10,83,356,154,4.8,0,202,5.2,9,2,69,4,83,0,1,0,0,0
"10/28","@DET
      W",14,17,82.4,237,13.9,17.7,3,0,2,11,158.3,11,0,0,42,176,4.2,1,8,14,43,35,8,3,13,1,0,1,2,0,7,0,4,0,0,"-",0,4,4,"100.0",1,17,"17.0",0,17,1,10,"10.0",0,10,4,198,49.5,20,8,11,6,12,50,1,2,50,7,111,413,176,4.2,1,237,13.9,17.7,3,17,10,111,0,0,2,1,0
"10/14","@OAK
      W",17,23,73.9,214,9.3,13.1,3,1,1,8,125.4,11,0,0,37,155,4.2,0,6,3,50,47,3,6,36,0,0,3,2,0,1,0,9,2,2,"100.0",0,3,3,"100.0",2,23,"11.5",0,14,1,0,"0.0",0,0,2,86,43,19,6,11,9,13,69.2,0,0,0,8,64,369,155,4.2,0,214,9.3,13.1,3,23,0,64,0,1,2,0,0
