"Date","Time (ET)","Where","Favorite","FavDiv","Underdog","UDDiv","Spread","OULine","FavScore","UDogScore","OT","Differential","Total","OverUnder","SpreadWin","Winner","SpreadWinTeam","WinTeam"
2022-09-08,"8:20","Away","BUF","AFC East","LA","NFC West",-2.5,52,31,10,"No",21,41,"U","Favorite","Favorite","BUF","BUF"
2022-09-11,"1:00","Away","NO","NFC South","ATL","NFC South",-5.5,43.5,27,26,"No",1,53,"O","Underdog","Favorite","ATL","NO"
2022-09-11,"1:00","Home","CAR","NFC South","CLE","AFC North",-1.5,42,24,26,"No",-2,50,"O","Underdog","Underdog","CLE","CLE"
2022-09-11,"1:00","Away","SF","NFC West","CHI","NFC North",-6,38,10,19,"No",-9,29,"U","Underdog","Underdog","CHI","CHI"
2022-09-11,"1:00","Home","CIN","AFC North","PIT","AFC North",-7,44,20,23,"Yes",-3,43,"U","Underdog","Underdog","PIT","PIT"
2022-09-11,"1:00","Away","PHI","NFC East","DET","NFC North",-6,48.5,38,35,"No",3,73,"O","Underdog","Favorite","DET","PHI"
2022-09-11,"1:00","Away","IND","AFC South","HOU","AFC South",-7,45.5,20,20,"Yes",0,40,"U","Underdog","Tie","HOU","Tie"
2022-09-11,"1:00","Home","MIA","AFC East","NE","AFC East",-3,46,20,7,"No",13,27,"U","Favorite","Favorite","MIA","MIA"
2022-09-11,"1:00","Away","BAL","AFC North","NYJ","AFC East",-6.5,44,24,9,"No",15,33,"U","Favorite","Favorite","BAL","BAL"
2022-09-11,"4:25","Away","KC","AFC West","ARI","NFC West",-6.5,54,44,21,"No",23,65,"O","Favorite","Favorite","KC","KC"
2022-09-11,"4:25","Home","LAC","AFC West","LV","AFC West",-3.5,52.5,24,19,"No",5,43,"U","Favorite","Favorite","LAC","LAC"
2022-09-11,"4:25","Home","MIN","NFC North","GB","NFC North",-2.5,46,23,7,"No",16,30,"U","Favorite","Favorite","MIN","MIN"
2022-09-11,"4:25","Home","TEN","AFC South","NYG","NFC East",-5,44,20,21,"No",-1,41,"U","Underdog","Underdog","NYG","NYG"
2022-09-11,"8:20","Away","TB","NFC South","DAL","NFC East",-2,50,19,3,"No",16,22,"U","Favorite","Favorite","TB","TB"
2022-09-12,"8:20","Away","DEN","AFC West","SEA","NFC West",-6.5,44.5,16,17,"No",-1,33,"U","Underdog","Underdog","SEA","SEA"
2022-09-15,"8:15","Home","KC","AFC West","LAC","AFC West",-4,54,27,24,"No",3,51,"U","Underdog","Favorite","LAC","KC"
2022-09-18,"1:00","Home","BAL","AFC North","MIA","AFC East",-3.5,44.5,38,42,"No",-4,80,"O","Underdog","Underdog","MIA","MIA"
2022-09-18,"1:00","Home","CLE","AFC North","NYJ","AFC East",-6.5,39.5,30,31,"No",-1,61,"O","Underdog","Underdog","NYJ","NYJ"
2022-09-18,"1:00","Away","IND","AFC South","JAC","AFC South",-3,45,0,24,"No",-24,24,"U","Underdog","Underdog","JAC","JAC"
2022-09-18,"1:00","Away","TB","NFC South","NO","NFC South",-2.5,44,20,10,"No",10,30,"U","Favorite","Favorite","TB","TB"
2022-09-18,"1:00","Home","NYG","NFC East","CAR","NFC South",-2,43.5,19,16,"No",3,35,"U","Favorite","Favorite","NYG","NYG"
2022-09-18,"1:00","Away","NE","AFC East","PIT","AFC North",-2.5,40.5,17,14,"No",3,31,"U","Favorite","Favorite","NE","NE"
2022-09-18,"4:04","Home","LA","NFC West","ATL","NFC South",-10,46.5,31,27,"No",4,58,"O","Underdog","Favorite","ATL","LA"
