"Date","Time (ET)","Where","Favorite","FavDiv","Underdog","UDDiv","Spread","OULine","FavScore","UDogScore","OT","Differential","Total","OverUnder","SpreadWin","Winner","SpreadWinTeam","WinTeam"
2020-11-22,"4:25","Home","MIN","NFC North","DAL","NFC East",-7,49.5,28,31,"No",-3,59,"O","Underdog","Underdog","DAL","DAL"
2020-11-22,"8:20","Away","KC","AFC West","LV","AFC West",-7.5,56.5,35,31,"No",4,66,"O","Underdog","Favorite","LV","KC"
2020-11-23,"8:15","Home","TB","NFC South","LA","NFC West",-4,47.5,24,27,"No",-3,51,"O","Underdog","Underdog","LA","LA"
2020-11-26,"12:30","Away","HOU","AFC South","DET","NFC North",-3,52.5,41,25,"No",16,66,"O","Favorite","Favorite","HOU","HOU"
2020-11-26,"4:30","Home","DAL","NFC East","WAS","NFC East",-2.5,46,16,41,"No",-25,57,"O","Underdog","Underdog","WAS","WAS"
2020-11-29,"1:00","Away","LV","AFC West","ATL","NFC South",-3.5,53,6,43,"No",-37,49,"U","Underdog","Underdog","ATL","ATL"
2020-11-29,"1:00","Home","BUF","AFC East","LAC","AFC West",-4.5,51.5,27,17,"No",10,44,"U","Favorite","Favorite","BUF","BUF"
2020-11-29,"1:00","Away","NYG","NFC East","CIN","AFC North",-6.5,45,19,17,"No",2,36,"U","Underdog","Favorite","CIN","NYG"
2020-11-29,"1:00","Home","IND","AFC South","TEN","AFC South",-3,51.5,26,45,"No",-19,71,"O","Underdog","Underdog","TEN","TEN"
2020-11-29,"1:00","Away","CLE","AFC North","JAC","AFC South",-7.5,48,27,25,"No",2,52,"O","Underdog","Favorite","JAC","CLE"
2020-11-29,"1:00","Home","MIN","NFC North","CAR","NFC South",-3,50,28,27,"No",1,55,"O","Underdog","Favorite","CAR","MIN"
2020-11-29,"1:00","Away","ARI","NFC West","NE","AFC East",-1,51,17,20,"No",-3,37,"U","Underdog","Underdog","NE","NE"
2020-11-29,"1:00","Away","MIA","AFC East","NYJ","AFC East",-7.5,46.5,20,3,"No",17,23,"U","Favorite","Favorite","MIA","MIA"
2020-11-29,"4:04","Away","NO","NFC South","DEN","AFC West",-17,36.5,31,3,"No",28,34,"U","Favorite","Favorite","NO","NO"
2020-11-29,"4:04","Home","LA","NFC West","SF","NFC West",-5,45,20,23,"No",-3,43,"U","Underdog","Underdog","SF","SF"
2020-11-29,"4:25","Away","KC","AFC West","TB","NFC South",-3.5,56,27,24,"No",3,51,"U","Underdog","Favorite","TB","KC"
2020-11-29,"8:20","Home","GB","NFC North","CHI","NFC North",-7.5,44,41,25,"No",16,66,"O","Favorite","Favorite","GB","GB"
2020-11-30,"8:15","Away","SEA","NFC West","PHI","NFC East",-6.5,50,23,17,"No",6,40,"U","Underdog","Favorite","PHI","SEA"
2020-12-02,"3:39","Home","PIT","AFC North","BAL","AFC North",-10,42,19,14,"No",5,33,"U","Underdog","Favorite","BAL","PIT"
2020-12-06,"1:00","Away","NO","NFC South","ATL","NFC South",-2.5,46.5,21,16,"No",5,37,"U","Favorite","Favorite","NO","NO"
2020-12-06,"1:00","Home","CHI","NFC North","DET","NFC North",-3,44,30,34,"No",-4,64,"O","Underdog","Underdog","DET","DET"
2020-12-06,"1:00","Away","IND","AFC South","HOU","AFC South",-3.5,50,26,20,"No",6,46,"U","Favorite","Favorite","IND","IND"
2020-12-06,"1:00","Home","MIA","AFC East","CIN","AFC North",-10.5,43,19,7,"No",12,26,"U","Favorite","Favorite","MIA","MIA"
2020-12-06,"1:00","Home","MIN","NFC North","JAC","AFC South",-10.5,51.5,27,24,"Yes",3,51,"U","Underdog","Favorite","JAC","MIN"
2020-12-06,"1:00","Away","LV","AFC West","NYJ","AFC East",-7.5,48.5,31,28,"No",3,59,"O","Underdog","Favorite","NYJ","LV"
2020-12-06,"1:00","Home","TEN","AFC South","CLE","AFC North",-4,54,35,41,"No",-6,76,"O","Underdog","Underdog","CLE","CLE"
2020-12-06,"4:04","Away","LA","NFC West","ARI","NFC West",-2.5,49,38,28,"No",10,66,"O","Favorite","Favorite","LA","LA"
2020-12-06,"4:04","Home","SEA","NFC West","NYG","NFC East",-11,48.5,12,17,"No",-5,29,"U","Underdog","Underdog","NYG","NYG"
2020-12-06,"4:25","Home","GB","NFC North","PHI","NFC East",-8,50,30,16,"No",14,46,"U","Favorite","Favorite","GB","GB"
