"Date","Time (ET)","Where","Favorite","FavDiv","Underdog","UDDiv","Spread","OULine","FavScore","UDogScore","OT","Differential","Total","OverUnder","SpreadWin","Winner","SpreadWinTeam","WinTeam"
2019-09-05,"8:20","Home","CHI","NFC North","GB","NFC North",-3.5,47,3,10,"No",-7,13,"U","Underdog","Underdog","GB","GB"
2019-09-08,"1:00","Away","LA","NFC West","CAR","NFC South",-1.5,49.5,30,27,"No",3,57,"O","Favorite","Favorite","LA","LA"
2019-09-08,"1:00","Home","CLE","AFC North","TEN","AFC South",-5.5,44,13,43,"No",-30,56,"O","Underdog","Underdog","TEN","TEN"
2019-09-08,"1:00","Away","KC","AFC West","JAC","AFC South",-3.5,49,40,26,"No",14,66,"O","Favorite","Favorite","KC","KC"
2019-09-08,"1:00","Away","BAL","AFC North","MIA","AFC East",-7,41,59,10,"No",49,69,"O","Favorite","Favorite","BAL","BAL"
2019-09-08,"1:00","Home","MIN","NFC North","ATL","NFC South",-3.5,47,28,12,"No",16,40,"U","Favorite","Favorite","MIN","MIN"
2019-09-08,"1:00","Home","NYJ","AFC East","BUF","AFC East",-2.5,41,16,17,"No",-1,33,"U","Underdog","Underdog","BUF","BUF"
2019-09-08,"1:00","Home","PHI","NFC East","WAS","NFC East",-10.5,44,32,27,"No",5,59,"O","Underdog","Favorite","WAS","PHI"
2019-09-08,"4:04","Home","LAC","AFC West","IND","AFC South",-6,44.5,30,24,"Yes",6,54,"O","Push","Favorite","Push","LAC"
2019-09-08,"4:04","Home","SEA","NFC West","CIN","AFC North",-9.5,44,21,20,"No",1,41,"U","Underdog","Favorite","CIN","SEA"
2019-09-08,"4:25","Away","DET","NFC North","ARI","NFC West",-2.5,45.5,27,27,"Yes",0,54,"O","Underdog","Tie","ARI","Tie"
2019-09-08,"4:25","Home","DAL","NFC East","NYG","NFC East",-7,44,35,17,"No",18,52,"O","Favorite","Favorite","DAL","DAL"
2019-09-08,"4:25","Home","TB","NFC South","SF","NFC West",-1,51,17,31,"No",-14,48,"U","Underdog","Underdog","SF","SF"
2019-09-08,"8:20","Home","NE","AFC East","PIT","AFC North",-5.5,49,33,3,"No",30,36,"U","Favorite","Favorite","NE","NE"
2019-09-09,"7:10","Home","NO","NFC South","HOU","AFC South",-6.5,52,30,28,"No",2,58,"O","Underdog","Favorite","HOU","NO"
2019-09-09,"10:20","Away","DEN","AFC West","OAK","AFC West",-3,42.5,16,24,"No",-8,40,"U","Underdog","Underdog","OAK","OAK"
2019-09-12,"8:20","Home","CAR","NFC South","TB","NFC South",-6.5,48,14,20,"No",-6,34,"U","Underdog","Underdog","TB","TB"
2019-09-15,"1:00","Home","BAL","AFC North","ARI","NFC West",-13,46,23,17,"No",6,40,"U","Underdog","Favorite","ARI","BAL"
