"Date","Time (ET)","Where","Favorite","FavDiv","Underdog","UDDiv","Spread","OULine","FavScore","UDogScore","OT","Differential","Total","OverUnder","SpreadWin","Winner","SpreadWinTeam","WinTeam"
2021-09-09,"8:20","Home","TB","NFC South","DAL","NFC East",-8.5,52,31,29,"No",2,60,"O","Underdog","Favorite","DAL","TB"
2021-09-12,"1:00","Home","ATL","NFC South","PHI","NFC East",-3.5,49,6,32,"No",-26,38,"U","Underdog","Underdog","PHI","PHI"
2021-09-12,"1:00","Home","BUF","AFC East","PIT","AFC North",-6.5,48.5,16,23,"No",-7,39,"U","Underdog","Underdog","PIT","PIT"
2021-09-12,"1:00","Home","CAR","NFC South","NYJ","AFC East",-4,45,19,14,"No",5,33,"U","Favorite","Favorite","CAR","CAR"
2021-09-12,"1:00","Away","MIN","NFC North","CIN","AFC North",-3,47.5,24,27,"Yes",-3,51,"O","Underdog","Underdog","CIN","CIN"
2021-09-12,"1:00","Away","SF","NFC West","DET","NFC North",-9,45.5,41,33,"No",8,74,"O","Underdog","Favorite","DET","SF"
2021-09-12,"1:00","Away","JAC","AFC South","HOU","AFC South",-3,45,21,37,"No",-16,58,"O","Underdog","Underdog","HOU","HOU"
2021-09-12,"1:00","Away","SEA","NFC West","IND","AFC South",-3,49,28,16,"No",12,44,"U","Favorite","Favorite","SEA","SEA"
2021-09-12,"1:00","Home","TEN","AFC South","ARI","NFC West",-3,53.5,13,38,"No",-25,51,"U","Underdog","Underdog","ARI","ARI"
2021-09-12,"1:00","Home","WAS","NFC East","LAC","AFC West",-1.5,45,16,20,"No",-4,36,"U","Underdog","Underdog","LAC","LAC"
2021-09-12,"4:25","Home","KC","AFC West","CLE","AFC North",-5.5,54.5,33,29,"No",4,62,"O","Underdog","Favorite","CLE","KC"
2021-09-12,"4:25","Home","NE","AFC East","MIA","AFC East",-3,43.5,16,17,"No",-1,33,"U","Underdog","Underdog","MIA","MIA"
2021-09-12,"4:25","Neutral","GB","NFC North","NO","NFC South",-3.5,49.5,3,38,"No",-35,41,"U","Underdog","Underdog","NO","NO"
2021-09-12,"4:25","Away","DEN","AFC West","NYG","NFC East",-3,41.5,27,13,"No",14,40,"U","Favorite","Favorite","DEN","DEN"
2021-09-12,"8:20","Home","LA","NFC West","CHI","NFC North",-8,46.5,34,14,"No",20,48,"O","Favorite","Favorite","LA","LA"
2021-09-13,"8:15","Away","BAL","AFC North","LV","AFC West",-4,50.5,27,33,"Yes",-6,60,"O","Underdog","Underdog","LV","LV"
2021-09-16,"8:20","Home","WAS","NFC East","NYG","NFC East",-3.5,40.5,30,29,"No",1,59,"O","Underdog","Favorite","NYG","WAS"
2021-09-19,"1:00","Away","NO","NFC South","CAR","NFC South",-3,44.5,7,26,"No",-19,33,"U","Underdog","Underdog","CAR","CAR"
2021-09-19,"1:00","Home","CHI","NFC North","CIN","AFC North",-1.5,44.5,20,17,"No",3,37,"U","Favorite","Favorite","CHI","CHI"
2021-09-19,"1:00","Home","CLE","AFC North","HOU","AFC South",-13.5,48,31,21,"No",10,52,"O","Underdog","Favorite","HOU","CLE"
2021-09-19,"1:00","Away","LA","NFC West","IND","AFC South",-3.5,48,27,24,"No",3,51,"O","Underdog","Favorite","IND","LA"
2021-09-19,"1:00","Away","DEN","AFC West","JAC","AFC South",-6,45,23,13,"No",10,36,"U","Favorite","Favorite","DEN","DEN"
2021-09-19,"1:00","Away","BUF","AFC East","MIA","AFC East",-3.5,47.5,35,0,"No",35,35,"U","Favorite","Favorite","BUF","BUF"
2021-09-19,"1:00","Away","NE","AFC East","NYJ","AFC East",-6,43,25,6,"No",19,31,"U","Favorite","Favorite","NE","NE"
2021-09-19,"1:00","Away","SF","NFC West","PHI","NFC East",-3,49,17,11,"No",6,28,"U","Favorite","Favorite","SF","SF"
2021-09-19,"1:00","Home","PIT","AFC North","LV","AFC West",-6,47,17,26,"No",-9,43,"U","Underdog","Underdog","LV","LV"
2021-09-19,"4:04","Home","ARI","NFC West","MIN","NFC North",-3.5,50.5,34,33,"No",1,67,"O","Underdog","Favorite","MIN","ARI"
2021-09-19,"4:04","Home","TB","NFC South","ATL","NFC South",-12.5,51.5,48,25,"No",23,73,"O","Favorite","Favorite","TB","TB"
2021-09-19,"4:25","Home","LAC","AFC West","DAL","NFC East",-3,55,17,20,"No",-3,37,"U","Underdog","Underdog","DAL","DAL"
2021-09-19,"4:25","Home","SEA","NFC West","TEN","AFC South",-6.5,54,30,33,"Yes",-3,63,"O","Underdog","Underdog","TEN","TEN"
2021-09-19,"8:20","Away","KC","AFC West","BAL","AFC North",-4,54.5,35,36,"No",-1,71,"O","Underdog","Underdog","BAL","BAL"
2021-09-20,"8:15","Home","GB","NFC North","DET","NFC North",-11.5,48,35,17,"No",18,52,"O","Favorite","Favorite","GB","GB"
2021-09-23,"8:20","Away","CAR","NFC South","HOU","AFC South",-9,43.5,24,9,"No",15,33,"U","Favorite","Favorite","CAR","CAR"
2021-09-26,"1:00","Home","BUF","AFC East","WAS","NFC East",-7,45.5,43,21,"No",22,64,"O","Favorite","Favorite","BUF","BUF"
2021-09-26,"1:00","Home","CLE","AFC North","CHI","NFC North",-7.5,44.5,26,6,"No",20,32,"U","Favorite","Favorite","CLE","CLE"
2021-09-26,"1:00","Away","BAL","AFC North","DET","NFC North",-7.5,50.5,19,17,"No",2,36,"U","Underdog","Favorite","DET","BAL"
2021-09-26,"1:00","Away","ARI","NFC West","JAC","AFC South",-7.5,51.5,31,19,"No",12,50,"U","Favorite","Favorite","ARI","ARI"
2021-09-26,"1:00","Home","KC","AFC West","LAC","AFC West",-7,54.5,24,30,"No",-6,54,"U","Underdog","Underdog","LAC","LAC"
2021-09-26,"1:00","Home","NE","AFC East","NO","NFC South",-3,42.5,13,28,"No",-15,41,"U","Underdog","Underdog","NO","NO"
2021-09-26,"1:00","Home","NYG","NFC East","ATL","NFC South",-3,47.5,14,17,"No",-3,31,"U","Underdog","Underdog","ATL","ATL"
2021-09-26,"1:00","Home","PIT","AFC North","CIN","AFC North",-3,43,10,24,"No",-14,34,"U","Underdog","Underdog","CIN","CIN"
2021-09-26,"1:00","Home","TEN","AFC South","IND","AFC South",-5.5,47.5,25,16,"No",9,41,"U","Favorite","Favorite","TEN","TEN"
2021-09-26,"4:04","Home","DEN","AFC West","NYJ","AFC East",-10,41.5,26,0,"No",26,26,"U","Favorite","Favorite","DEN","DEN"
2021-09-26,"4:04","Home","LV","AFC West","MIA","AFC East",-4,44,31,28,"Yes",3,59,"O","Underdog","Favorite","MIA","LV"
2021-09-26,"4:25","Away","TB","NFC South","LA","NFC West",-1.5,55.5,24,34,"No",-10,58,"O","Underdog","Underdog","LA","LA"
2021-09-26,"4:25","Away","SEA","NFC West","MIN","NFC North",-2,55,17,30,"No",-13,47,"U","Underdog","Underdog","MIN","MIN"
2021-09-26,"8:20","Home","SF","NFC West","GB","NFC North",-3,50.5,28,30,"No",-2,58,"O","Underdog","Underdog","GB","GB"
2021-09-27,"8:15","Home","DAL","NFC East","PHI","NFC East",-3.5,51.5,41,21,"No",20,62,"O","Favorite","Favorite","DAL","DAL"
2021-09-30,"8:20","Home","CIN","AFC North","JAC","AFC South",-7.5,46.5,24,21,"No",3,45,"U","Underdog","Favorite","JAC","CIN"
2021-10-03,"1:00","Away","WAS","NFC East","ATL","NFC South",-2,48,34,30,"No",4,64,"O","Favorite","Favorite","WAS","WAS"
2021-10-03,"1:00","Home","BUF","AFC East","HOU","AFC South",-17.5,47,40,0,"No",40,40,"U","Favorite","Favorite","BUF","BUF"
2021-10-03,"1:00","Home","CHI","NFC North","DET","NFC North",-3,41.5,24,14,"No",10,38,"U","Favorite","Favorite","CHI","CHI"
2021-10-03,"1:00","Home","DAL","NFC East","CAR","NFC South",-4,51.5,36,28,"No",8,64,"O","Favorite","Favorite","DAL","DAL"
2021-10-03,"1:00","Home","MIA","AFC East","IND","AFC South",-2.5,42.5,17,27,"No",-10,44,"O","Underdog","Underdog","IND","IND"
2021-10-03,"1:00","Away","CLE","AFC North","MIN","NFC North",-1,51.5,14,7,"No",7,21,"U","Favorite","Favorite","CLE","CLE"
2021-10-03,"1:00","Home","NO","NFC South","NYG","NFC East",-7,41.5,21,27,"Yes",-6,48,"O","Underdog","Underdog","NYG","NYG"
2021-10-03,"1:00","Away","TEN","AFC South","NYJ","AFC East",-6,44,24,27,"Yes",-3,51,"O","Underdog","Underdog","NYJ","NYJ"
2021-10-03,"1:00","Away","KC","AFC West","PHI","NFC East",-7,54.5,42,30,"No",12,72,"O","Favorite","Favorite","KC","KC"
2021-10-03,"4:04","Home","LA","NFC West","ARI","NFC West",-4,54.5,20,37,"No",-17,57,"O","Underdog","Underdog","ARI","ARI"
2021-10-03,"4:04","Home","SF","NFC West","SEA","NFC West",-2.5,52,21,28,"No",-7,49,"U","Underdog","Underdog","SEA","SEA"
2021-10-03,"4:25","Away","BAL","AFC North","DEN","AFC West",-1,44,23,7,"No",16,30,"U","Favorite","Favorite","BAL","BAL"
