"Date","Time (ET)","Where","Favorite","FavDiv","Underdog","UDDiv","Spread","OULine","FavScore","UDogScore","OT","Differential","Total","OverUnder","SpreadWin","Winner","SpreadWinTeam","WinTeam"
2018-09-06,"8:20","Home","PHI","NFC East","ATL","NFC South",-1,44.5,18,12,"No",6,30,"U","Favorite","Favorite","PHI","PHI"
2018-09-09,"1:00","Home","BAL","AFC North","BUF","AFC East",-7.5,39,47,3,"No",44,50,"O","Favorite","Favorite","BAL","BAL"
2018-09-09,"1:00","Away","PIT","AFC North","CLE","AFC North",-3.5,41,21,21,"Yes",0,42,"O","Underdog","Tie","CLE","Tie"
2018-09-09,"1:00","Away","CIN","AFC North","IND","AFC South",-1,47.5,34,23,"No",11,57,"O","Favorite","Favorite","CIN","CIN"
2018-09-09,"1:00","Away","TEN","AFC South","MIA","AFC East",-1,43.5,20,27,"No",-7,47,"O","Underdog","Underdog","MIA","MIA"
2018-09-09,"1:00","Home","MIN","NFC North","SF","NFC West",-6,46.5,24,16,"No",8,40,"U","Favorite","Favorite","MIN","MIN"
2018-09-09,"1:00","Home","NE","AFC East","HOU","AFC South",-6,49.5,27,20,"No",7,47,"U","Favorite","Favorite","NE","NE"
2018-09-09,"1:00","Home","NO","NFC South","TB","NFC South",-10,50,40,48,"No",-8,88,"O","Underdog","Underdog","TB","TB"
2018-09-09,"1:00","Away","JAC","AFC South","NYG","NFC East",-2.5,43,20,15,"No",5,35,"U","Favorite","Favorite","JAC","JAC"
2018-09-09,"4:04","Home","LAC","AFC West","KC","AFC West",-3.5,48,28,38,"No",-10,66,"O","Underdog","Underdog","KC","KC"
2018-09-09,"4:25","Home","ARI","NFC West","WAS","NFC East",-2,43.5,6,24,"No",-18,30,"U","Underdog","Underdog","WAS","WAS"
2018-09-09,"4:25","Home","CAR","NFC South","DAL","NFC East",-2.5,42.5,16,8,"No",8,24,"U","Favorite","Favorite","CAR","CAR"
2018-09-09,"4:25","Home","DEN","AFC West","SEA","NFC West",-3,42.5,27,24,"No",3,51,"O","Push","Favorite","Push","DEN"
2018-09-09,"8:20","Home","GB","NFC North","CHI","NFC North",-6.5,45,24,23,"No",1,47,"O","Underdog","Favorite","CHI","GB"
2018-09-10,"7:10","Home","DET","NFC North","NYJ","AFC East",-7,44,17,48,"No",-31,65,"O","Underdog","Underdog","NYJ","NYJ"
2018-09-10,"10:20","Away","LA","NFC West","OAK","AFC West",-6.5,47.5,33,13,"No",20,46,"U","Favorite","Favorite","LA","LA"
2018-09-13,"8:20","Home","CIN","AFC North","BAL","AFC North",-1,43,34,23,"No",11,57,"O","Favorite","Favorite","CIN","CIN"
2018-09-16,"1:00","Home","ATL","NFC South","CAR","NFC South",-5.5,44,31,24,"No",7,55,"O","Favorite","Favorite","ATL","ATL"
2018-09-16,"1:00","Away","LAC","AFC West","BUF","AFC East",-7.5,41.5,31,20,"No",11,51,"O","Favorite","Favorite","LAC","LAC"
2018-09-16,"1:00","Away","MIN","NFC North","GB","NFC North",-2,45,29,29,"Yes",0,58,"O","Underdog","Tie","GB","Tie"
2018-09-16,"1:00","Home","NO","NFC South","CLE","AFC North",-10,51,21,18,"No",3,39,"U","Underdog","Favorite","CLE","NO"
2018-09-16,"1:00","Home","NYJ","AFC East","MIA","AFC East",-3,43,12,20,"No",-8,32,"U","Underdog","Underdog","MIA","MIA"
2018-09-16,"1:00","Home","PIT","AFC North","KC","AFC West",-4.5,52,37,42,"No",-5,79,"O","Underdog","Underdog","KC","KC"
2018-09-16,"1:00","Away","PHI","NFC East","TB","NFC South",-3,46.5,21,27,"No",-6,48,"O","Underdog","Underdog","TB","TB"
2018-09-16,"1:00","Away","HOU","AFC South","TEN","AFC South",-3.5,41,17,20,"No",-3,37,"U","Underdog","Underdog","TEN","TEN"
