"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers"
2021-08-14,"DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-21,"IND",11,26,42.3,79,3,7.6,0,1,1,5,34.8,3,36,156,4.3,0,11,33,50,37,13,0,0,0,0,0,0,0,2,0,6,2,2,100,34,0,0,NA,5,111,22.2,0,31,1,8,8,0,8,4,162,40.5,15,5,13,38.5,0,2,0,8,68,235,-1,0
2021-08-27,"KC",14,30,46.15,117.5,3.8,8.7,0,0.5,1.5,7.5,49.45,4.5,26.5,113.5,4.25,0,6.5,22.5,61,40,21,0,0,1,0.5,0.5,0,0,5.5,0,5,1.5,2,75,41.5,0.5,0.5,100,3.5,87,26.85,0,36,2.5,16.5,7.15,0,12.5,6,265.5,43.3,11.5,3.5,13,26.95,0,1.5,0,6.5,55.5,231,0.5,0
2021-09-12,"CIN",17,32.6666666666667,50.9333333333333,172.333333333333,5,10.0666666666667,0,0.666666666666667,1.66666666666667,9,57.5666666666667,7,27.3333333333333,122,4.43333333333333,0.666666666666667,6.66666666666667,24.3333333333333,57.6666666666667,37.6666666666667,20,1,6.66666666666667,1,0.666666666666667,0.333333333333333,0.333333333333333,0,5.33333333333333,0,5,1.33333333333333,2,66.6666666666667,36.3333333333333,1,1,100,3.33333333333333,83.3333333333333,26.3333333333333,0,34,2,11,4.76666666666667,0,8.33333333333333,5.33333333333333,240.666666666667,44.8,15.3333333333333,3.33333333333333,13.3333333333333,25.1,0.333333333333333,1.66666666666667,16.6666666666667,7,58.3333333333333,294.333333333333,0.333333333333333,0.333333333333333
2021-09-19,"ARI",22,37,56.7,213.25,5.425,10,0.5,0.5,2,13.25,70,9.25,26,108.25,4.075,0.75,6.25,25,61.5,39.25,22.25,2,16,0.75,0.5,0.25,0.25,0,4.5,0,5.25,1.25,1.75,75,40.5,1.5,1.5,100,2.75,67.75,25,0,30.75,1.75,11.25,6.575,0,9.25,6,281,46.175,17.5,4,14,28.2,0.75,1.75,37.5,8.25,72.75,321.5,0,0.5
2021-09-26,"SEA",22,36,59.12,219,5.86,10.22,1,0.4,1.8,11,80.48,9.4,26.2,122,4.58,0.6,7.2,26.8,61.2,40,21.2,2.2,18.6,1,0.6,0.6,0.2,0,4.2,0,6,1.4,2,73.34,42.8,1.8,2,93.75,2.4,58.6,24.4,0,29,2,13.2,6.66,0,10.4,5.8,271,46.18,18.4,3.6,13.2,26.56,0.6,1.4,30,7.2,61.4,341,0.4,0.4
2021-10-03,"CLE",23.3333333333333,36.3333333333333,62.4166666666667,234.666666666667,6.25,10.3166666666667,1.33333333333333,0.333333333333333,1.66666666666667,10.8333333333333,88.4666666666667,11.1666666666667,27.5,125,4.5,0.5,7.16666666666667,25.1666666666667,59.6666666666667,38.8333333333333,20.8333333333333,2.16666666666667,18,0.833333333333333,0.5,0.5,0.166666666666667,0,3.83333333333333,0,7,1.66666666666667,2.16666666666667,77.7833333333333,42.8333333333333,2,2.16666666666667,95,2.33333333333333,55.5,23.6666666666667,0,28.1666666666667,2,10.8333333333333,5.46666666666667,0,8.66666666666667,5.16666666666667,241.5,46.3166666666667,20,4.5,13.3333333333333,32.85,0.5,1.16666666666667,25,6.66666666666667,57.8333333333333,359.666666666667,0.333333333333333,0.333333333333333
2021-10-10,"DET",22.8571428571429,36.5714285714286,61.0142857142857,228.285714285714,6.07142857142857,10.2857142857143,1.28571428571429,0.428571428571429,1.71428571428571,11.1428571428571,85.2571428571429,11,26.8571428571429,116.428571428571,4.25714285714286,0.428571428571429,6.71428571428571,23.5714285714286,61.8571428571429,40,21.8571428571429,2.28571428571429,17.1428571428571,0.714285714285714,0.428571428571429,0.428571428571429,0.142857142857143,0,4,0,6.14285714285714,1.42857142857143,1.85714285714286,77.7833333333333,36.7142857142857,1.85714285714286,2,95.8333333333333,2.14285714285714,51.2857142857143,24,0,27.8571428571429,2,10.8571428571429,5.47142857142857,0,9,5.28571428571429,248.571428571429,46.6285714285714,19.4285714285714,4.57142857142857,13.7142857142857,32.6285714285714,0.571428571428571,1.42857142857143,26.1857142857143,6.71428571428571,55.5714285714286,344.714285714286,0.142857142857143,0.285714285714286
2021-10-17,"CAR",23.125,36.25,62.575,232.75,6.2875,10.375,1.25,0.5,1.75,11.125,86.425,11.125,27,116.875,4.2625,0.375,6.5,22.75,62.25,39.75,22.5,2.5,17.875,0.75,0.375,0.5,0.25,0,4,0,7,1.75,2.25,78.1,39,1.75,1.875,96.4285714285714,2.375,53.375,23.125,0,27.375,1.875,9.75,5.0375,0,8.125,5,236.25,47.05,19.25,4.625,13.625,33.3625,0.5,1.25,22.9125,6.75,57.875,349.625,0.125,0.375
2021-10-31,"DAL",24.2222222222222,37.5555555555556,63.2666666666667,248.333333333333,6.45555555555556,10.4777777777778,1.44444444444444,0.444444444444444,1.55555555555556,9.88888888888889,89.3333333333333,11.6666666666667,28,125.888888888889,4.4,0.444444444444444,6.88888888888889,23.3333333333333,61.3333333333333,38.8888888888889,22.4444444444444,2.66666666666667,18,0.777777777777778,0.333333333333333,0.666666666666667,0.444444444444444,0,4.11111111111111,0,7.33333333333333,1.88888888888889,2.55555555555556,75.8375,38.8888888888889,1.66666666666667,1.77777777777778,96.875,2.33333333333333,55,24.3333333333333,0,29.3333333333333,2,9.44444444444444,4.73333333333333,0,8,5,230.888888888889,46,20,4.88888888888889,13.8888888888889,34.5222222222222,0.444444444444444,1.11111111111111,20.3666666666667,7.22222222222222,62.3333333333333,374.222222222222,0.333333333333333,0.444444444444444
