"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/9","@ARI
      W",15,26,57.7,229,8.8,15.9,3,1,1,9,110.7,10,0,0,30,202,6.7,2,9,30,77,54,23,5,53,0,0,1,1,0,5,0,8,1,1,"100.0",38,5,5,"100.0",0,0,"-",0,0,2,20,"10.0",0,13,2,78,39,19,9,10,8,12,66.7,0,0,0,4,30,431,202,6.7,2,229,8.8,15.9,3,0,20,30,-1,1,1,0,1
"1/2","DET
      W",20,29,69,232,8,11.8,4,0,1,4,133,13,0,0,41,265,6.5,2,15,29,55,35,20,0,0,3,0,0,0,0,9,0,15,3,3,"100.0",51,6,6,"100.0",2,48,"24.0",0,27,2,5,"2.5",0,3,1,45,45,29,15,13,7,12,58.3,1,1,100,5,31,497,265,6.5,2,232,8,11.8,4,48,5,31,3,0,0,3,0
"12/26","CHI
      L",16,27,59.3,161,6,11.3,2,0,2,20,104.1,9,0,0,24,170,7.1,1,6,25,77,40,37,4,21,0,0,1,0,0,6,0,6,1,2,"50.0",36,3,3,"100.0",4,92,"23.0",0,40,1,15,"15.0",0,15,4,148,37,18,6,9,3,10,30,0,1,0,7,88,331,170,7.1,1,161,6,11.3,2,92,15,88,0,0,0,0,0
"12/21","@LAR
      L",17,31,54.8,134,4.3,9.2,0,1,3,22,55.3,7,0,0,19,80,4.2,1,5,20,61,44,17,4,35,1,0,0,0,0,3,0,4,1,1,"100.0",39,1,1,"100.0",0,0,"-",0,0,2,14,"7.0",0,9,6,297,49.5,13,5,7,3,11,27.3,0,1,0,8,65,214,80,4.2,1,134,4.3,9.2,0,0,14,65,0,1,0,1,0
"12/12","@HOU
      W",17,28,60.7,260,9.3,15.3,2,0,0,0,115.2,11,0,0,29,193,6.7,2,7,13,79,48,31,2,14,0,0,0,0,0,4,0,7,2,2,"100.0",38,1,3,"33.3",2,41,"20.5",0,23,2,31,"15.5",0,22,4,169,42.3,20,7,11,7,13,53.8,0,0,0,8,69,453,193,6.7,2,260,9.3,15.3,2,41,31,69,0,0,0,0,0
"12/5","SF
      W",30,37,81.1,181,4.9,7.7,2,1,4,50,99.4,12,0,0,27,146,5.4,2,5,23,57,32,25,1,5,2,0,1,1,0,6,1,4,0,1,"0.0",0,4,4,"100.0",6,148,"24.7",0,33,1,0,"0.0",0,0,4,205,51.3,21,5,12,5,15,33.3,2,2,100,6,40,327,146,5.4,2,181,4.9,7.7,2,148,0,40,0,1,1,2,2
"11/29","@WAS
      L",20,31,64.5,233,7.5,12.4,2,0,2,14,110.6,8,0,0,12,34,2.8,0,1,17,84,57,27,1,4,1,0,0,0,0,4,0,1,0,0,"-",0,1,1,"100.0",3,81,"27.0",0,27,0,0,"-",0,0,8,400,50,10,1,8,4,12,33.3,0,0,0,6,51,267,34,2.8,0,233,7.5,12.4,2,81,0,51,0,0,0,1,1
"11/21","ARI
      L",14,26,53.8,180,6.9,14.8,0,0,4,27,80.1,9,0,0,19,86,4.5,1,6,23,88,44,44,2,10,0,0,2,0,0,2,0,7,2,2,"100.0",27,1,1,"100.0",1,20,"20.0",0,20,2,9,"4.5",0,6,5,257,51.4,16,6,9,2,10,20,0,1,0,2,17,266,86,4.5,1,180,6.9,14.8,0,20,9,17,0,0,0,0,0
"11/14","@GB
      L",20,40,50,133,3.3,8.1,0,2,3,28,39.7,8,0,0,16,75,4.7,0,6,17,74,44,30,1,5,1,0,0,0,0,7,0,0,0,0,"-",0,0,0,"-",3,79,"26.3",0,32,0,0,"-",0,0,6,274,45.7,15,6,8,7,15,46.7,0,1,0,5,39,208,75,4.7,0,133,3.3,8.1,0,79,0,39,-1,2,0,1,0
"10/31","JAX
      W",20,24,83.3,160,6.7,9.8,2,0,3,35,128.3,9,0,0,25,69,2.8,1,5,7,69,41,28,1,11,1,0,0,0,0,9,0,7,1,1,"100.0",31,4,4,"100.0",2,65,"32.5",1,44,1,20,"20.0",0,20,5,226,45.2,17,5,9,3,10,30,1,1,100,5,40,229,69,2.8,1,160,6.7,9.8,2,65,20,40,1,0,0,1,0
"10/25","NO
      L",12,22,54.5,129,5.9,13.9,1,0,5,38,94.3,6,0,0,28,90,3.2,0,4,13,61,37,24,2,12,0,0,1,1,0,4,0,4,1,3,"33.3",50,1,1,"100.0",3,53,"17.7",0,23,2,19,"9.5",0,11,5,242,48.4,14,4,6,3,12,25,0,1,0,6,53,219,90,3.2,0,129,5.9,13.9,1,53,19,53,1,0,1,0,0
"10/17","@PIT
      L",23,32,71.9,165,5.2,9.1,1,0,5,44,99.6,9,0,0,27,144,5.3,1,8,23,77,49,28,1,3,0,0,1,1,0,3,0,8,2,2,"100.0",43,2,2,"100.0",3,97,"32.3",0,38,3,20,"6.7",0,14,8,364,45.5,18,8,9,3,12,25,0,0,0,6,45,309,144,5.3,1,165,5.2,9.1,1,97,20,45,0,0,1,0,1
"10/7","LAR
      L",21,33,63.6,262,7.9,13.5,2,2,2,21,85.8,13,0,0,25,92,3.7,0,5,26,63,44,19,1,7,1,0,0,0,0,4,0,5,1,2,"50.0",32,2,2,"100.0",2,46,"23.0",0,24,1,13,"13.0",0,13,4,202,50.5,22,5,13,4,10,40,0,1,0,3,20,354,92,3.7,0,262,7.9,13.5,2,46,13,20,-1,2,0,1,0
"10/3","@SF
      W",16,23,69.6,129,5.6,9.3,2,0,3,20,116,6,0,0,28,105,3.8,2,7,21,66,39,27,2,8,1,0,1,1,0,9,0,4,0,0,"-",0,4,4,"100.0",2,51,"25.5",0,33,2,11,"5.5",0,11,8,405,50.6,14,7,6,2,10,20,0,0,0,5,27,234,105,3.8,2,129,5.6,9.3,2,51,11,27,2,0,1,1,0
"9/26","@MIN
      L",23,32,71.9,283,8.8,13,1,0,2,15,111.2,14,0,0,18,106,5.9,1,6,30,80,51,29,1,10,0,0,1,0,0,1,0,5,1,2,"50.0",53,2,2,"100.0",1,21,"21.0",0,21,0,0,"-",0,0,2,88,44,21,6,14,3,8,37.5,0,1,0,4,35,389,106,5.9,1,283,8.8,13,1,21,0,35,0,0,0,0,0
"9/19","TEN
      L",22,31,71,320,10.3,15.6,2,0,3,23,128.8,10,0,0,18,77,4.3,2,5,33,93,56,37,3,27,0,0,1,1,0,1,0,6,1,1,"100.0",31,3,4,"75.0",3,30,"10.0",0,18,0,0,"-",0,0,6,310,51.7,17,5,10,4,12,33.3,0,0,0,10,100,397,77,4.3,2,320,10.3,15.6,2,30,0,100,1,0,1,0,0
