"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","Team"
2019-08-08,"LAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARI"
2019-08-15,"OAK",23,32,71.9,206,6.4,9.5,1,1,2,13,87.9,12,25,83,3.3,1,4,13,52,42,10,3,19,1,0,1,1,0,2,0,5,1,1,100,55,2,2,100,1,25,25,0,25,2,10,5,0,7,4,190,47.5,19,4,11,36.4,0,0,0,9,73,289,1,0,"ARI"
2019-08-24,"MIN",22,35,63.6,232.5,6.6,11.3,2,0.5,2.5,14.5,96.25,11.5,23,99,4.4,0.5,4.5,23,58.5,46.5,12,2,12.5,0.5,0,0.5,0.5,0,1,0,6.5,1.5,1.5,100,50,2,2,100,3.5,79,23.6,0,25,2,10,5,0,8,4.5,216.5,48.05,20.5,3,11.5,26.55,0.5,0.5,50,11.5,90.5,331.5,0.5,0,"ARI"
2019-08-29,"DEN",24.3333333333333,38.6666666666667,63.4,252.333333333333,6.5,11,1.33333333333333,0.333333333333333,2,13,91.5,11.6666666666667,22,89.3333333333333,4.1,0.333333333333333,4,22,57.3333333333333,43,14.3333333333333,2.33333333333333,13.6666666666667,0.333333333333333,0,1,0.333333333333333,0,3.33333333333333,0,7.33333333333333,2,2,100,49,1.33333333333333,1.33333333333333,100,2.33333333333333,52.6666666666667,23.6,0,16.6666666666667,2.66666666666667,19.3333333333333,6.5,0,14.6666666666667,5.33333333333333,249,47,18.6666666666667,4.33333333333333,13.3333333333333,31.4333333333333,0.333333333333333,0.333333333333333,33.3333333333333,12.3333333333333,97.3333333333333,341.666666666667,0.333333333333333,0,"ARI"
2019-09-08,"DET",23.25,37.25,62.7,233.25,6.2,10.675,1.25,0.5,2.25,14.25,87.275,10,19.75,80.25,4.1,0.25,3.5,21.5,58,42,16,2,12.25,1,0,1,0.25,0,3.75,0,5.75,1.5,1.5,100,36.75,1.25,1.25,100,2,47.75,26.7333333333333,0,20.75,2.5,15.5,5.375,0,12,5.5,258,47.125,16,3.75,12.75,28.125,0.25,0.75,25,11.5,89.25,313.5,0.25,0.5,"ARI"
2019-09-15,"BAL",24.4,40.6,60.9,241.6,5.98,10.66,1.4,0.6,2.8,18,84.86,11.2,20.4,86.6,4.26,0.2,3.4,22.6,60.2,43.4,16.8,2.2,14.6,0.8,0,1.2,0.6,0,3.8,0,7.2,2,2,100,37.8,1.2,1.2,100,2.4,55.4,25.425,0,23,2.6,16,5.5,0,11.2,6,282.4,47.2,17,4.8,14.6,30.68,0.2,0.6,20,10.6,78.4,328.2,0.4,0.4,"ARI"
2019-09-22,"CAR",24.5,40.5,61.1666666666667,256.166666666667,6.35,11.2166666666667,1.16666666666667,0.5,2.83333333333333,18.3333333333333,85.8,11.3333333333333,18.8333333333333,75.5,3.85,0.333333333333333,3.16666666666667,22.6666666666667,61.6666666666667,44,17.6666666666667,2.16666666666667,14.5,0.666666666666667,0,1.16666666666667,0.5,0,4,0,7.5,2.16666666666667,2.16666666666667,100,35.1666666666667,1,1,100,2.66666666666667,56,23.3,0,23,2.33333333333333,13.3333333333333,4.58333333333333,0,9.33333333333333,5.83333333333333,279.833333333333,48.2333333333333,16.6666666666667,4.33333333333333,14,28.6,0.333333333333333,0.666666666666667,33.3333333333333,10.1666666666667,77,331.666666666667,0.333333333333333,0.333333333333333,"ARI"
2019-09-29,"SEA",25.2857142857143,40.8571428571429,62.4,237.714285714286,5.87142857142857,10.4428571428571,1.28571428571429,0.714285714285714,3.57142857142857,22.2857142857143,83.9857142857143,11,19.2857142857143,82,4.08571428571429,0.285714285714286,4.14285714285714,24.8571428571429,61,42.5714285714286,18.4285714285714,2.14285714285714,15.4285714285714,0.571428571428571,0,1.28571428571429,0.571428571428571,0,3.71428571428571,0,7.57142857142857,2.14285714285714,2.14285714285714,100,36.8571428571429,1.14285714285714,1.14285714285714,100,2.42857142857143,50.7142857142857,22.5833333333333,0,22.4285714285714,2.28571428571429,14.2857142857143,5.35714285714286,0,10.8571428571429,5.71428571428571,270.142857142857,47.4,17.2857142857143,5,14.4285714285714,32.0714285714286,0.428571428571429,0.714285714285714,42.8571428571429,9.71428571428571,73.4285714285714,319.714285714286,0.142857142857143,0.285714285714286,"ARI"
2019-10-06,"CIN",24.875,39.75,63.2,233.75,5.9375,10.5125,1.125,0.75,3.625,23.875,83.2,11.125,19.75,86.125,4.2,0.375,4.375,25.125,61.875,43.25,18.625,2.375,15.375,0.5,0,1.5,0.5,0,3.5,0,7.125,2,2.25,90.4714285714286,36.375,1.125,1.125,100,2.125,44.375,22.5833333333333,0,19.625,2.125,12.625,4.8125,0,9.625,5.375,254,47.35,17.625,4.75,13.75,32.225,0.375,0.625,37.5,9.375,69.75,319.875,0,0.25,"ARI"
2019-10-13,"ATL",24.3333333333333,38.8888888888889,63.1222222222222,235.333333333333,6.14444444444444,10.7444444444444,1,0.666666666666667,3.33333333333333,21.7777777777778,83.6333333333333,11.3333333333333,21.7777777777778,106.111111111111,4.51111111111111,0.555555555555556,5.11111111111111,24.8888888888889,61.7777777777778,42.5555555555556,19.2222222222222,2.22222222222222,13.6666666666667,0.444444444444444,0,1.33333333333333,0.444444444444444,0,3.44444444444444,0,7.88888888888889,2.22222222222222,2.55555555555556,89.1625,35.7777777777778,1.22222222222222,1.22222222222222,100,2.11111111111111,45.2222222222222,23.0714285714286,0,20.7777777777778,2.11111111111111,13.8888888888889,5.61111111111111,0,10.4444444444444,5.11111111111111,242.444444444444,47.6444444444444,18.5555555555556,4.88888888888889,13.6666666666667,33.7777777777778,0.444444444444444,0.666666666666667,44.4444444444444,9.66666666666667,72.6666666666667,341.444444444444,0,0.222222222222222,"ARI"
2019-10-20,"NYG",24.6,38.7,64.11,245.8,6.45,10.93,1.2,0.6,3,19.6,88.09,11.8,22.5,105.7,4.41,0.6,5.2,25.7,61.5,42.6,18.9,2.2,13.8,0.4,0,1.3,0.4,0,3.3,0,8.1,2.2,2.5,90.3666666666667,36.1,1.5,1.5,100,2.1,47,24.125,0,22.4,2,12.8,5.35,0,9.7,4.9,233.8,48.08,19.1,5.1,13.6,35.78,0.5,0.7,50,9.5,71.1,351.5,0,0.2,"ARI"
2019-10-27,"NO",23.6363636363636,37.0909090909091,64.3454545454545,231.545454545455,6.24545454545455,10.6090909090909,1.09090909090909,0.545454545454545,2.90909090909091,19.1818181818182,87.2,11.4545454545455,23.9090909090909,110.272727272727,4.38181818181818,0.818181818181818,5.45454545454545,25.2727272727273,61.5454545454545,42.3636363636364,19.1818181818182,2.72727272727273,18.6363636363636,0.454545454545455,0,1.45454545454545,0.545454545454545,0,3.27272727272727,0,8.18181818181818,2.18181818181818,2.45454545454545,91.33,37.0909090909091,1.63636363636364,1.63636363636364,100,2,42.7272727272727,21.4444444444444,0,20.3636363636364,1.90909090909091,11.9090909090909,5.13636363636364,0,9.09090909090909,4.90909090909091,227.909090909091,46.7818181818182,19,5.27272727272727,13.7272727272727,36.7727272727273,0.545454545454545,0.727272727272727,54.5454545454545,9.54545454545454,72.3636363636364,341.818181818182,0.272727272727273,0.181818181818182,"ARI"
2019-10-31,"SF",23.25,36.8333333333333,63.6416666666667,228.666666666667,6.20833333333333,10.6916666666667,1,0.5,3,19.5,86.2333333333333,11.1666666666667,22.8333333333333,104.416666666667,4.31666666666667,0.75,5.16666666666667,25.75,62.0833333333333,42.6666666666667,19.4166666666667,2.5,17.0833333333333,0.5,0,1.33333333333333,0.5,0,3.16666666666667,0,8.25,2.25,2.5,92.1181818181818,38.1666666666667,1.5,1.5,100,1.91666666666667,42.4166666666667,23.2,0,21.9166666666667,1.83333333333333,11.5833333333333,5.375,0,9,4.91666666666667,228.75,46.85,18.25,5,13.5833333333333,35.1,0.5,0.833333333333333,50,9.16666666666667,69.25,333.083333333333,0.333333333333333,0.166666666666667,"ARI"
2019-11-10,"TB",22.7692307692308,35.8461538461538,64.1923076923077,226.769230769231,6.38461538461538,10.9615384615385,1.07692307692308,0.461538461538462,3,20.8461538461538,89.6538461538461,10.8461538461538,22.8461538461538,108.153846153846,4.5,0.769230769230769,5.53846153846154,25.9230769230769,62.0769230769231,43,19.0769230769231,2.38461538461538,16.3076923076923,0.461538461538462,0,1.23076923076923,0.461538461538462,0,3.23076923076923,0,8,2.15384615384615,2.38461538461538,92.775,38,1.53846153846154,1.53846153846154,100,2,43.3846153846154,22.7545454545455,0,22.5384615384615,1.92307692307692,12,5.4,0,9,4.92307692307692,230.615384615385,47.1384615384615,18.3076923076923,4.76923076923077,13.1538461538462,34.3230769230769,0.461538461538462,0.769230769230769,46.1538461538462,9.15384615384615,68.9230769230769,334.923076923077,0.307692307692308,0.153846153846154,"ARI"
