"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"1/3","@DET
      W",28,40,70,383,9.6,14.5,3,0,3,22,127.6,20,0,0,31,125,4,2,8,35,45,30,15,1,5,1,0,1,1,0,7,0,7,1,2,"50.0",23,4,5,"80.0",4,107,"26.8",0,33,2,20,"10.0",0,13,3,137,45.7,31,8,20,4,13,30.8,2,2,100,4,35,508,125,4,2,383,9.6,14.5,3,107,20,35,2,0,1,1,0
"12/25","@NO
      L",27,41,65.9,274,6.7,10.8,3,0,2,17,110.9,17,0,0,17,90,5.3,2,6,52,70,42,28,0,0,2,0,0,0,0,5,0,3,0,0,"-",0,3,4,"75.0",0,0,"-",0,0,0,0,"-",0,0,4,186,46.5,25,6,17,3,9,33.3,1,2,50,3,20,364,90,5.3,2,274,6.7,10.8,3,0,0,20,2,0,0,2,0
"12/20","CHI
      L",24,35,68.6,249,7.1,11.3,2,1,3,22,98.6,12,0,0,28,158,5.6,1,11,33,74,37,37,1,4,1,0,0,0,0,3,0,9,2,2,"100.0",24,3,3,"100.0",1,30,"30.0",0,30,0,0,"-",0,0,2,80,40,26,11,12,4,11,36.4,0,2,0,1,5,407,158,5.6,1,249,7.1,11.3,2,30,0,5,0,1,0,1,0
"12/13","@TB
      L",24,37,64.9,173,4.7,9.4,1,0,6,52,90.5,14,0,0,33,162,4.9,1,11,26,45,25,20,0,0,0,0,0,0,0,2,0,0,0,3,"0.0",0,0,1,"0.0",0,0,"-",0,0,2,15,"7.5",0,10,2,76,38,27,11,14,5,15,33.3,4,5,80,5,71,335,162,4.9,1,173,4.7,9.4,1,0,15,71,-1,0,0,0,1
"12/6","JAX
      W",28,43,65.1,275,6.4,10.9,3,1,4,30,99.5,17,0,0,38,145,3.8,0,10,24,72,34,38,2,14,2,0,2,2,0,5,1,7,2,3,"66.7",48,1,3,"33.3",3,63,"21.0",0,25,3,21,"7.0",0,8,7,331,47.3,30,10,17,7,16,43.8,0,0,0,6,41,420,145,3.8,0,275,6.4,10.9,3,63,21,41,2,1,2,2,1
"11/29","CAR
      W",34,45,75.6,291,6.5,9,3,0,2,16,115.7,18,0,0,24,96,4,0,7,27,66,26,40,0,0,1,0,0,0,0,4,0,8,2,2,"100.0",53,2,2,"100.0",0,0,"-",0,0,2,0,"0.0",0,0,3,153,51,26,7,18,6,13,46.2,1,1,100,8,52,387,96,4,0,291,6.5,9,3,0,0,52,-2,0,0,1,3
"11/22","DAL
      L",22,30,73.3,305,10.2,14.3,3,0,2,9,140.1,14,0,0,29,125,4.3,1,9,31,66,30,36,1,7,1,0,0,0,0,3,0,4,0,0,"-",0,4,4,"100.0",1,20,"20.0",0,20,1,3,"3.0",0,3,3,154,51.3,24,9,14,6,10,60,0,1,0,8,80,430,125,4.3,1,305,10.2,14.3,3,20,3,80,-1,0,0,1,2
"11/16","@CHI
      W",25,36,69.4,286,7.9,11.7,2,1,1,6,100.7,14,0,0,33,99,3,0,4,13,40,28,12,2,16,1,0,0,1,0,5,0,7,2,2,"100.0",43,1,1,"100.0",0,0,"-",0,0,1,0,"0.0",0,0,5,208,41.6,19,4,14,8,15,53.3,0,0,0,4,35,385,99,3,0,286,7.9,11.7,2,0,0,35,0,1,1,1,1
"11/8","DET
      W",13,20,65,212,10.6,16.9,3,0,1,8,141.7,11,0,0,34,275,8.1,2,10,20,74,43,31,2,13,3,0,1,0,0,4,0,4,0,0,"-",0,4,5,"80.0",5,98,"19.6",0,26,1,-3,"-3.0",0,-3,5,157,31.4,22,10,11,4,10,40,0,1,0,9,69,487,275,8.1,2,212,10.6,16.9,3,98,-3,69,3,0,0,3,0
"11/1","@GB
      W",11,14,78.6,151,10.8,14.5,1,0,1,9,138.1,6,0,0,34,173,5.1,3,11,22,64,43,21,1,0,0,0,1,1,0,2,0,4,0,0,"-",0,4,4,"100.0",4,66,"16.5",0,27,0,0,"-",0,0,3,113,37.7,20,11,6,4,8,50,1,1,100,7,36,324,173,5.1,3,151,10.8,14.5,1,66,0,36,1,0,1,0,0
"10/18","ATL
      L",24,36,66.7,333,9.3,14.3,3,3,1,10,90.4,14,0,0,13,32,2.5,0,3,40,75,50,25,2,8,0,0,2,1,0,2,0,1,0,0,"-",0,1,1,"100.0",3,73,"24.3",0,29,0,0,"-",0,0,4,198,49.5,19,3,14,3,10,30,1,2,50,3,30,365,32,2.5,0,333,9.3,14.3,3,73,0,30,-2,3,1,0,0
"10/11","@SEA
      L",27,39,69.2,248,6.4,9.2,2,1,3,1,92.8,17,0,0,41,201,4.9,1,12,27,41,29,12,4,27,1,0,0,0,0,2,0,8,2,2,"100.0",52,2,2,"100.0",2,37,"18.5",0,20,3,7,"2.3",0,7,2,96,48,31,12,17,6,14,42.9,2,3,66.7,6,55,449,201,4.9,1,248,6.4,9.2,2,37,7,55,-1,1,0,1,1
"10/4","@HOU
      W",16,22,72.7,248,11.3,16.3,1,0,3,12,127.1,10,0,0,40,162,4.1,3,14,23,63,38,25,3,10,0,0,1,1,0,3,0,7,1,2,"50.0",31,4,4,"100.0",2,40,"20.0",0,20,1,6,"6.0",0,6,4,166,41.5,24,14,10,5,12,41.7,1,1,100,4,36,410,162,4.1,3,248,11.3,16.3,1,40,6,36,1,0,1,0,0
"9/27","TEN
      L",16,27,59.3,238,8.8,15.7,3,2,2,13,96.4,11,0,0,33,226,6.8,1,10,31,68,45,23,2,11,1,0,1,0,0,5,0,6,1,2,"50.0",41,3,3,"100.0",2,47,"23.5",0,25,0,0,"-",0,0,3,132,44,22,10,11,4,10,40,0,1,0,3,20,464,226,6.8,1,238,8.8,15.7,3,47,0,20,-2,2,0,1,1
"9/20","@IND
      L",11,26,42.3,95,3.7,10.3,0,3,3,18,15.9,5,0,0,18,80,4.4,1,3,28,70,56,14,2,11,1,0,1,0,0,3,0,3,1,1,"100.0",21,0,0,"-",4,77,"19.3",0,26,0,0,"-",0,0,4,168,42,12,3,5,2,9,22.2,0,0,0,6,45,175,80,4.4,1,95,3.7,10.3,0,77,0,45,-2,3,0,1,0
"9/13","GB
      L",19,25,76,248,9.9,13.6,2,1,2,11,118.6,12,0,0,22,134,6.1,2,10,43,62,50,12,0,0,0,0,1,0,0,1,0,4,1,1,"100.0",35,1,1,"100.0",2,64,"32.0",0,38,0,0,"-",0,0,2,80,40,25,10,12,3,6,50,0,1,0,5,20,382,134,6.1,2,248,9.9,13.6,2,64,0,20,-1,1,0,0,0
