"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","FUM","FUML","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","1st","R1st.downs","P1st.downs","3rdCon","3rdAtt","3rdPct","4thCon","4thAtt","4thPct","Pen","PenYds","TotYds","RushYds.yardage","RushYPA.yardage","RushTD.yardage","PassYds.yardage","PassYPA.yardage","PassYPR.yardage","PassTD.yardage","KRYds.yardage","PRYds.yardage","PenYds.yardage","PlusMinus","OINT.turnovers","FumRec.turnovers","INT.turnovers","FUML.turnovers"
"2/7","KC
      W",21,29,72.4,195,6.7,9.6,3,0,1,6,125.8,12,0,0,33,145,4.4,1,8,9,53,38,15,3,27,2,0,1,0,0,9,0,7,1,1,100,52,4,4,"100.0",3,75,"25.0",0,28,0,0,"-",0,0,4,150,"37.5",26,8,12,4,12,33.3,0,1,0,4,39,340,145,4.4,1,195,6.7,9.6,3,75,0,39,2,0,0,2,0
"1/24","@GB
      W",20,36,55.6,275,7.6,14,3,3,1,5,73.8,12,0,0,24,76,3.2,1,4,26,63,42,21,5,32,1,0,2,1,0,4,0,7,1,1,100,46,4,4,"100.0",5,121,"24.2",0,43,2,10,"5.0",0,7,2,80,"40.0",19,4,12,9,14,64.3,1,1,100,2,8,351,76,3.2,1,275,7.6,14,3,121,10,8,-1,3,1,1,0
"1/17","@NO
      W",18,33,54.5,189,5.7,11.1,2,0,1,10,92.9,13,0,0,35,127,3.6,1,7,20,48,38,10,0,0,3,0,1,1,0,8,0,12,3,3,100,37,3,3,"100.0",0,0,"-",0,0,1,13,"13.0",0,13,4,183,"45.8",20,7,13,8,17,47.1,1,1,100,7,62,316,127,3.6,1,189,5.7,11.1,2,0,13,62,4,0,1,3,0
"1/9","@WAS
      W",22,40,55,365,9.1,17.3,2,0,3,16,104.3,18,0,0,29,142,4.9,1,7,23,54,41,13,2,17,1,0,0,0,0,8,0,13,4,4,100,38,1,2,"50.0",2,26,"13.0",0,18,2,16,"8.0",0,9,3,127,"42.3",26,7,18,6,14,42.9,0,0,0,3,24,507,142,4.9,1,365,9.1,17.3,2,26,16,24,0,0,0,1,1
"1/3","ATL
      W",26,41,63.4,391,9.5,15.3,4,1,1,8,117.8,20,0,0,22,94,4.3,1,5,27,60,41,19,1,7,0,0,2,2,0,4,0,14,3,3,100,38,5,5,"100.0",2,51,"25.5",0,28,1,0,"0.0",0,0,0,0,"-",28,5,20,6,11,54.5,0,0,0,3,23,485,94,4.3,1,391,9.5,15.3,4,51,0,23,1,1,2,0,0
"12/26","@DET
      W",31,42,73.8,477,11.4,15.8,6,0,2,14,151.9,22,0,0,26,111,4.3,1,5,7,46,34,12,4,39,1,0,1,1,0,5,0,5,0,1,0,0,5,7,"71.4",2,43,"21.5",0,30,5,20,"4.0",0,8,3,132,"44.0",30,5,22,4,10,40,1,2,50,8,65,588,111,4.3,1,477,11.4,15.8,6,43,20,65,2,0,1,1,0
"12/20","@ATL
      W",31,45,68.9,365,8.1,12.6,2,0,3,25,110.4,19,0,0,18,51,2.8,2,6,27,53,41,12,3,24,0,0,0,0,0,7,0,7,1,1,100,27,4,4,"100.0",3,67,"22.3",0,23,4,32,"8.0",0,21,5,209,"41.8",27,6,19,4,10,40,0,0,0,1,10,416,51,2.8,2,365,8.1,12.6,2,67,32,10,0,0,0,0,0
"12/13","MIN
      W",15,23,65.2,196,8.5,13.1,2,0,0,0,120.9,8,0,0,26,107,4.1,1,6,14,73,47,26,6,52,0,0,2,1,0,2,0,8,2,2,100,48,2,3,"66.7",0,0,"-",0,0,1,4,"4.0",0,4,3,151,"50.3",17,6,8,5,11,45.5,0,0,0,5,34,303,107,4.1,1,196,8.5,13.1,2,0,4,34,1,0,1,0,0
"11/29","KC
      L",27,41,65.9,342,8.3,12.8,3,2,1,3,96.1,14,0,0,13,75,5.8,0,3,27,59,47,12,2,6,0,0,1,1,0,2,0,6,1,1,100,26,3,3,"100.0",1,6,"6.0",0,6,1,2,"2.0",0,2,4,208,"52.0",20,3,14,3,9,33.3,1,1,100,8,57,417,75,5.8,0,342,8.3,12.8,3,6,2,57,-1,2,1,0,0
"11/23","LAR
      L",26,48,54.2,209,4.4,8.3,2,2,1,7,62.5,14,0,0,18,42,2.3,1,4,27,69,44,25,0,0,2,0,0,0,0,4,0,6,1,1,100,38,3,3,"100.0",1,24,"24.0",0,24,3,19,"6.3",0,8,5,245,"49.0",20,4,14,7,14,50,0,1,0,2,7,251,42,2.3,1,209,4.4,8.3,2,24,19,7,0,2,0,2,0
"11/15","@CAR
      W",28,39,71.8,334,8.6,12.2,3,0,1,7,124,18,0,0,37,210,5.7,2,9,23,41,28,13,3,26,1,0,0,0,0,4,0,16,4,4,100,40,4,5,"80.0",0,0,"-",0,0,0,0,"-",0,0,0,0,"-",30,9,18,10,16,62.5,1,1,100,3,30,544,210,5.7,2,334,8.6,12.2,3,0,0,30,0,0,0,1,1
"11/8","NO
      L",22,38,57.9,186,4.9,9.5,0,3,3,23,40.4,10,0,0,5,8,1.6,0,0,38,75,40,35,1,0,0,0,2,2,0,2,0,3,1,1,100,48,0,0,"-",2,46,"23.0",0,25,1,1,"1.0",0,1,4,161,"40.3",13,0,10,1,9,11.1,0,3,0,5,39,194,8,1.6,0,186,4.9,9.5,0,46,1,39,-1,3,2,0,0
"11/2","@NYG
      W",28,40,70,263,6.6,10,2,0,2,16,106.1,18,0,0,24,81,3.4,0,3,23,58,41,17,3,18,2,0,0,0,0,6,0,13,4,4,100,43,1,1,"100.0",4,92,"23.0",0,28,0,0,"-",0,0,3,126,"42.0",23,3,18,4,12,33.3,1,1,100,3,20,344,81,3.4,0,263,6.6,10,2,92,0,20,1,0,0,2,1
"10/25","@LV
      W",33,45,73.3,369,8.2,11.2,4,0,0,0,127,22,0,0,25,85,3.4,2,5,20,54,44,10,3,13,1,0,1,0,0,4,0,9,1,1,100,29,6,6,"100.0",4,98,"24.5",0,34,0,0,"-",0,0,3,128,"42.7",29,5,22,7,12,58.3,1,1,100,4,20,454,85,3.4,2,369,8.2,11.2,4,98,0,20,1,0,0,1,0
"10/18","GB
      W",17,28,60.7,166,5.9,9.8,2,0,0,0,101.2,9,0,0,35,158,4.5,2,9,10,49,33,16,5,53,2,1,1,0,0,6,0,8,1,1,100,50,5,5,"100.0",1,20,"20.0",0,20,4,30,"7.5",0,10,5,192,"38.4",21,9,9,5,12,41.7,0,0,0,0,0,324,158,4.5,2,166,5.9,9.8,2,20,30,0,2,0,0,2,0
"10/8","@CHI
      L",25,41,61,233,5.7,10.1,1,0,3,20,86.7,11,0,0,20,106,5.3,0,4,20,51,34,17,3,35,1,0,1,0,0,8,0,13,4,4,100,46,1,1,"100.0",1,25,"25.0",0,25,2,20,"10.0",0,12,3,140,"46.7",18,4,11,4,14,28.6,1,2,50,11,109,339,106,5.3,0,233,5.7,10.1,1,25,20,109,0,0,0,1,1
"10/4","LAC
      W",30,46,65.2,369,8,12.3,5,1,0,0,117,20,0,0,27,115,4.3,0,6,31,49,35,14,2,12,1,0,1,1,0,3,0,8,1,2,50,26,5,5,"100.0",2,57,"28.5",0,33,3,27,"9.0",0,14,3,171,"57.0",28,6,20,5,11,45.5,0,0,0,8,90,484,115,4.3,0,369,8,12.3,5,57,27,90,1,1,1,1,0
"9/27","@DEN
      W",25,38,65.8,285,7.5,11.9,3,0,2,12,115.8,12,0,0,25,68,2.7,0,5,10,55,35,20,6,45,2,0,1,0,0,5,1,8,2,2,100,43,2,3,"66.7",1,17,"17.0",0,17,3,21,"7.0",0,13,5,219,"43.8",17,5,12,8,16,50,1,1,100,9,71,353,68,2.7,0,285,7.5,11.9,3,17,21,71,2,0,0,2,0
"9/20","CAR
      W",23,35,65.7,217,6.2,9.4,1,1,0,0,80.3,11,0,0,22,122,5.5,3,5,17,72,53,19,5,27,2,0,2,2,0,5,0,7,1,1,100,33,4,4,"100.0",0,0,"-",0,0,1,0,"0.0",0,0,4,168,"42.0",20,5,11,5,11,45.5,0,0,0,5,37,339,122,5.5,3,217,6.2,9.4,1,0,0,37,2,1,2,2,1
"9/13","@NO
      L",23,36,63.9,224,6.2,10.4,2,2,3,15,78.4,10,0,0,26,86,3.3,1,7,34,62,40,22,1,9,0,0,0,0,0,3,0,5,1,2,50,38,2,2,"100.0",1,0,"0.0",0,0,1,0,"0.0",0,0,5,236,"47.2",23,7,10,5,13,38.5,1,1,100,9,103,310,86,3.3,1,224,6.2,10.4,2,0,0,103,-3,2,0,0,1
