"Date","Underdog","Favorite","UD.Comp","UD.PassAtt","UD.CompPCT","UD.PassYds","UD.PassYPA","UD.PassYPR","UD.PassTD","UD.OINT","UD.OSCK","UD.OSCKYDS","UD.QBR","UD.P1st","UD.RushAtt","UD.RushYds","UD.RushYPA","UD.RushTD","UD.R1st","UD.PA","UD.Tckl","UD.Solo","UD.AstTckl","UD.DSck","UD.DSCKYds","UD.INT","UD.INTTD","UD.FF","UD.FumRec","UD.FumTD","UD.PassDef","UD.Sfty","UD.KPts","UD.FGM","UD.FGA","UD.FGPct","UD.FGLng","UD.XPM","UD.XPA","UD.XPPct","UD.KR","UD.KRYds","UD.KRAvg","UD.KRTD","UD.KRLng","UD.PR","UD.PRYds","UD.PRAvg","UD.PRTD","UD.PRLng","UD.Punts","UD.PuntYds","UD.PuntAvg","UD.1st","UD.3rdCon","UD.3rdAtt","UD.3rdPct","UD.4thCon","UD.4thAtt","UD.4thPct","UD.Pen","UD.PenYds","UD.TotYds","UD.PlusMinus","UD.FUML.turnovers"
2018-09-06,"ATL","PHI",16.5,32.25,51.1,175.5,5.475,11.5,0.5,1,2.75,12.5,61.775,8.25,22,71.5,3.275,0.25,3.5,24,58.25,46.5,11.75,2.75,14,1,0,0.25,0.5,0,2.75,0,2.25,0.5,0.75,50,0,0.75,0.75,100,2.75,60,21.925,0,27,2,7.5,3.875,0,5.75,6.25,283.5,45.75,12.75,4.25,13.25,32.45,0.25,2,8.325,7.25,57,247,0,0.25
2018-09-09,"BUF","BAL",20,33.75,59.5,205.25,5.95,11.475,2,0.75,4,26,90.925,9.5,27,134.25,5.025,0.75,7.75,24.5,53.5,41,12.5,1,6.75,0.5,0,0.75,0,0,5,0,4.25,1,1.25,88.9,0,1.25,1.5,87.5,1,20,21,0,16,3.5,39,11.475,0,20,5.25,232.75,44.7,20.25,5.25,13.5,39.575,0.5,1,25,9.75,82.25,339.5,0,0
2018-09-09,"CLE","PIT",16.25,28.5,56.425,196.5,6.8,12.875,1,0.25,2,15,87.6,9,32.75,128.75,3.95,1,7,11.5,54.5,40,14.5,3.25,18.25,0.75,0.25,0.75,0.5,0,5.5,0.25,4.75,1,1,100,0,1.75,1.75,100,2.5,60.25,23.75,0,26,5,30,6.15,0,12,7.75,326,41.9,17.75,4,14.5,27.2,0.75,1.25,50,8.75,87.5,325.25,0,0.5
2018-09-09,"IND","CIN",22,35.25,63.075,248.75,7.175,12.225,1.5,0.75,2.25,18.5,92.75,11.75,28.75,83,3,0.5,5.75,20,61.5,42.25,19.25,2.75,19.75,0.5,0,1.5,0.75,0,4.75,0,8.5,2.25,2.25,100,0,1.75,1.75,100,2.5,55.5,18.95,0,22,2.5,13,7.5,0,9,4.5,198,43.8,19.75,6.75,16.25,42.425,1.25,1.75,79.175,8.5,83.75,331.75,0,1
2018-09-09,"MIA","TEN",26.5,41.25,64.3,221.5,5.35,9.125,1,1.25,3,17.75,74.575,12.25,21.75,101.25,4.875,1,5.25,21.75,63.5,38.75,24.75,2.5,13.75,1,0,0.25,0.25,0,3.75,0,9,2.5,3,85.425,0,1.5,1.5,100,2.5,62.75,27,0,21.75,2.75,16.5,6.83333333333333,0,8.75,4.5,217.25,47.8,19.75,3.25,13.5,22.25,1,2,33.35,6.5,49.5,322.75,0,0.5
2018-09-09,"SF","MIN",22,33.5,65.875,264.5,7.675,12.4,0.5,1.25,1.5,11.75,80.925,11.75,27.5,100.25,3.65,1.5,6,20.75,54.75,41.75,13,1.5,10.25,0.25,0,0.5,0.25,0,4.75,0,5.75,1.5,1.5,100,0,1.25,1.25,100,3.25,75,21.525,0,31.5,3.5,29.25,8.125,0,18.25,4.25,174,41.625,20.25,6,13,45.95,0.75,1.25,62.5,9,82.75,364.75,0,1
2018-09-09,"HOU","NE",18,31.75,57.225,188,5.925,10.825,1.5,0.75,1.25,7.25,82.325,10,26.25,103.5,3.925,0.75,4.5,12.5,58.5,42.25,16.25,0.5,4.25,1.5,0,0,0,0,5.75,0,3.25,0.5,1,66.6666666666667,0,1.75,2,87.5,2.25,58,26.125,0,32,2.5,13.25,5.3,0,7.5,5.25,232,43.875,18.75,3.25,11.5,29.1,1,1.75,54.175,7.75,62.75,291.5,0,0.25
2018-09-09,"TB","NO",26.25,40.75,63.65,284.5,6.925,11.55,1.75,0.5,1.5,13,93.725,15.5,25.5,81.25,3.175,0.75,4.5,24,58.75,45.75,13,1.75,8.5,0.25,0,0.75,0.5,0,5.25,0,7.5,1.75,2,91.675,0,2.25,2.75,85.425,4.25,102.25,23.925,0,32,0.75,3.5,4.66666666666667,0,3.5,4,169.5,41.775,22.75,5.75,13.75,41.75,0.75,1.25,58.325,6.5,76.75,365.75,0,0.5
2018-09-09,"NYG","JAC",21,37.75,56.775,205.25,5.675,10.375,0.75,0.5,1.5,11.75,76.175,10,26.25,111.25,4.275,1,5.75,17.5,56.25,41.5,14.75,2.25,14.25,0.75,0,0.75,0.5,0,6,0,6.5,1.75,1.75,100,0,1.25,1.75,68.75,1.75,34.75,20.5333333333333,0,20,4,49.75,9.675,0.25,23.5,6,262,43.425,19.5,5,14.5,34.325,0.25,1,12.5,6.25,52.5,316.5,0,0.25
2018-09-09,"KC","LAC",25.5,38.5,67.025,274,7.225,10.9,1.75,0.75,1.25,4,95.85,15,20.75,62.5,2.95,0,3,19.75,47,35.75,11.25,0.75,2,1,0.5,0.5,0.25,0,4.5,0,8.75,2.25,2.25,100,0,2,2,100,3.75,94.25,25.2,0,35.25,2.5,21.75,7.925,0,19.5,3.25,140.25,43.25,19.75,7,13.5,49.625,0.5,1,16.675,7.25,80,336.5,0,0
2018-09-09,"WAS","ARI",19.5,30.75,63.425,205.5,6.625,11.375,1.75,0.75,3,17.25,95.75,10.5,25.5,120.75,4.725,0,4.75,24.5,58.5,39,19.5,1.75,8.75,0.75,0,0.25,0.25,0,5,0,6.75,1.75,2.25,62.5,0,1.5,1.5,100,2.25,39.5,19.1,0,16.25,2.75,25,7.775,0,13.25,4.5,218,48.6,18.75,3.25,12,26.075,0.5,1.25,16.675,7,54.5,326.25,0,0.5
2018-09-09,"DAL","CAR",25.75,40.5,63.85,206,5.15,8.725,0.75,1.25,3,18.25,72.7,10.25,22.75,74.5,3.225,0.25,5,21.5,53.25,36.5,16.75,1.25,7.25,0.75,0,0.75,0.5,0,6.5,0,4.75,1.25,1.5,75,0,1,1,100,1.75,50.25,28.4,0,23,3,9.75,2.95,0,9.75,6.5,291.5,44.9,17.25,5,15,33.5,0.25,1,25,9.75,80.25,280.5,0,1.25
