"Date","Favorite","Underdog","Fav.Comp","Fav.PassAtt","Fav.CompPCT","Fav.PassYds","Fav.PassYPA","Fav.PassYPR","Fav.PassTD","Fav.OINT","Fav.OSCK","Fav.OSCKYDS","Fav.QBR","Fav.P1st","Fav.RushAtt","Fav.RushYds","Fav.RushYPA","Fav.RushTD","Fav.R1st","Fav.PA","Fav.Tckl","Fav.Solo","Fav.AstTckl","Fav.DSck","Fav.DSCKYds","Fav.INT","Fav.INTTD","Fav.FF","Fav.FumRec","Fav.FumTD","Fav.PassDef","Fav.Sfty","Fav.KPts","Fav.FGM","Fav.FGA","Fav.FGPct","Fav.FGLng","Fav.XPM","Fav.XPA","Fav.XPPct","Fav.KR","Fav.KRYds","Fav.KRAvg","Fav.KRTD","Fav.KRLng","Fav.PR","Fav.PRYds","Fav.PRAvg","Fav.PRTD","Fav.PRLng","Fav.Punts","Fav.PuntYds","Fav.PuntAvg","Fav.X1st","Fav.X3rdCon","Fav.X3rdAtt","Fav.X3rdPct","Fav.X4thCon","Fav.X4thAtt","Fav.X4thPct","Fav.Pen","Fav.PenYds","Fav.TotYds","Fav.PlusMinus","Fav.FUML.turnovers","Fav.PF"
2020-09-13,"SF","ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-13,"LA","DAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-14,"PIT","NYG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-14,"TEN","DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-17,"CLE","CIN",21,39,53.8,168,4.3,9,1,1,2,21,65,10,27,138,5.1,0,6,38,52,39,13,2,14,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,NA,0,0,1,1,1,0,1,3,137,45.7,20,3,12,25,0,3,0,8,80,306,-2,2,6
2020-09-20,"CHI","NYG",20,36,55.6,214,5.9,12.1,3,0,1,28,104.2,15,28,149,5.3,0,7,23,62,44,18,1,9,1,0,0,0,0,6,0,9,2,2,100,35,3,3,100,3,110,36.7,0,45,1,0,0,0,0,5,213,42.6,26,2,11,18.2,1,2,50,6,48,363,1,0,27
2020-09-20,"DAL","ATL",25,39,64.1,244,6.3,10.6,1,0,3,22,92.5,14,27,136,5,1,9,20,75,48,27,1,6,1,0,0,0,0,4,0,5,1,2,50,33,2,2,100,2,48,24,0,27,1,20,20,0,20,4,156,39,24,3,12,25,1,3,33.3,7,50,380,1,0,17
2020-09-20,"GB","DET",32,44,72.7,364,8.3,11.4,4,0,0,0,127.5,17,32,158,4.9,1,11,34,46,30,16,2,11,1,0,0,0,0,1,1,11,2,2,100,43,5,5,100,1,18,18,0,18,1,0,0,0,0,1,40,40,31,6,11,54.5,1,2,50,6,63,522,1,0,43
2020-09-20,"IND","MIN",36,46,78.3,357,7.8,10.1,1,2,1,6,88.7,17,22,88,4,1,5,27,49,33,16,4,23,0,0,0,0,0,1,0,8,2,3,66.7,38,2,2,100,3,90,30,0,41,0,0,NA,0,0,0,0,NA,27,4,12,33.3,1,3,33.3,5,80,445,-2,0,20
2020-09-20,"BUF","MIA",33,46,71.7,306,6.7,9.5,2,0,3,6,104.6,17,32,98,3.1,1,8,17,44,30,14,3,13,1,0,1,1,0,3,0,9,2,4,50,22,3,3,100,1,31,31,0,31,5,68,13.6,0,23,1,53,53,31,7,14,50,1,1,100,7,79,404,0,2,27
