"","Date","Time (ET)","Where","Favorite","FavDiv","Underdog","UDDiv","Spread","OULine","FavScore","UDogScore","OT","Differential","Total","OverUnder","SpreadWin","Winner","SpreadWinTeam","WinTeam","Fav.Comp","Fav.PassAtt","Fav.CompPCT","Fav.PassYds","Fav.PassYPA","Fav.PassYPR","Fav.PassTD","Fav.OINT","Fav.OSCK","Fav.OSCKYDS","Fav.QBR","Fav.P1st","Fav.RushAtt","Fav.RushYds","Fav.RushYPA","Fav.RushTD","Fav.R1st","Fav.PA","Fav.Tckl","Fav.Solo","Fav.AstTckl","Fav.DSck","Fav.DSCKYds","Fav.INT","Fav.INTTD","Fav.FF","Fav.FumRec","Fav.FumTD","Fav.PassDef","Fav.Sfty","Fav.KPts","Fav.FGM","Fav.FGA","Fav.FGPct","Fav.FGLng","Fav.XPM","Fav.XPA","Fav.XPPct","Fav.KR","Fav.KRYds","Fav.KRAvg","Fav.KRTD","Fav.KRLng","Fav.PR","Fav.PRYds","Fav.PRAvg","Fav.PRTD","Fav.PRLng","Fav.Punts","Fav.PuntYds","Fav.PuntAvg","Fav.X1st","Fav.X3rdCon","Fav.X3rdAtt","Fav.X3rdPct","Fav.X4thCon","Fav.X4thAtt","Fav.X4thPct","Fav.Pen","Fav.PenYds","Fav.TotYds","Fav.PlusMinus","Fav.FUML.turnovers","UD.Comp","UD.PassAtt","UD.CompPCT","UD.PassYds","UD.PassYPA","UD.PassYPR","UD.PassTD","UD.OINT","UD.OSCK","UD.OSCKYDS","UD.QBR","UD.P1st","UD.RushAtt","UD.RushYds","UD.RushYPA","UD.RushTD","UD.R1st","UD.PA","UD.Tckl","UD.Solo","UD.AstTckl","UD.DSck","UD.DSCKYds","UD.INT","UD.INTTD","UD.FF","UD.FumRec","UD.FumTD","UD.PassDef","UD.Sfty","UD.KPts","UD.FGM","UD.FGA","UD.FGPct","UD.FGLng","UD.XPM","UD.XPA","UD.XPPct","UD.KR","UD.KRYds","UD.KRAvg","UD.KRTD","UD.KRLng","UD.PR","UD.PRYds","UD.PRAvg","UD.PRTD","UD.PRLng","UD.Punts","UD.PuntYds","UD.PuntAvg","UD.X1st","UD.X3rdCon","UD.X3rdAtt","UD.X3rdPct","UD.X4thCon","UD.X4thAtt","UD.X4thPct","UD.Pen","UD.PenYds","UD.TotYds","UD.PlusMinus","UD.FUML.turnovers"
"11",2018-09-09,04:25:00,"Home","ARI","NFC West","WAS","NFC East",-2,43.5,6,24,"No",-18,30,"U","Underdog","Underdog","WAS","WAS",14.25,25.75,54.6,117.5,4.35,8.9,0.75,0.25,1.75,11,73.8,6.5,23.75,87.75,3.65,0.75,3.5,14,59,45.25,13.75,3.5,24.25,1.75,0.25,2,2.5,0.5,4.5,0,6.75,1.5,2,83.35,0,2.25,2.25,100,2,45,21.7666666666667,0,18.75,2.75,32.25,11.925,0,19.5,7.25,337.75,46.575,11.75,2.75,12.5,21.1,0.25,0.25,25,9.5,84.25,205.25,0,0.25,19.5,30.75,63.425,205.5,6.625,11.375,1.75,0.75,3,17.25,95.75,10.5,25.5,120.75,4.725,0,4.75,24.5,58.5,39,19.5,1.75,8.75,0.75,0,0.25,0.25,0,5,0,6.75,1.75,2.25,62.5,0,1.5,1.5,100,2.25,39.5,19.1,0,16.25,2.75,25,7.775,0,13.25,4.5,218,48.6,18.75,3.25,12,26.075,0.5,1.25,16.675,7,54.5,326.25,0,0.5
"12",2018-09-09,04:25:00,"Home","CAR","NFC South","DAL","NFC East",-2.5,42.5,16,8,"No",8,24,"U","Favorite","Favorite","CAR","CAR",23.5,36.25,64.75,256.25,7.3,11.825,1.5,0.5,1.75,12,94.05,13.25,27.5,117,4.15,1.75,7.5,24,55.75,37.5,18.25,1.25,8,0.5,0,0.75,0.25,0,4.5,0,6.5,1.25,1.5,66.6666666666667,0,2.75,2.75,100,3.25,65.25,20.2,0,26.75,1.75,18.75,8.925,0,14.75,4,175.75,43.75,23.75,6.25,12.75,49.05,0.5,0.75,37.5,8,74.5,373.25,0,0.5,25.75,40.5,63.85,206,5.15,8.725,0.75,1.25,3,18.25,72.7,10.25,22.75,74.5,3.225,0.25,5,21.5,53.25,36.5,16.75,1.25,7.25,0.75,0,0.75,0.5,0,6.5,0,4.75,1.25,1.5,75,0,1,1,100,1.75,50.25,28.4,0,23,3,9.75,2.95,0,9.75,6.5,291.5,44.9,17.25,5,15,33.5,0.25,1,25,9.75,80.25,280.5,0,1.25
"13",2018-09-09,04:25:00,"Home","DEN","AFC West","SEA","NFC West",-3,42.5,27,24,"No",3,51,"O","Push","Favorite","Push","DEN",22.25,34.75,64.125,219.75,6.35,10.45,1.25,0.75,2,12,86.525,10.75,25.75,115,4.575,1,6.25,23.25,49.5,39.75,9.75,3,19,0.5,0,0.25,0.25,0,3,0.25,8.75,2.25,2.5,88.9,0,2,2,100,2.75,62.75,23.5,0,27.25,2.75,34.75,15.05,0.25,25,4.5,205.5,45.7,19.5,6,13.75,43.575,0,0.25,0,10.25,101,334.75,0,0.25,21,35,61.925,236.5,6.55,12.025,1.25,0.5,2.5,18.5,88.15,10.25,22,94.5,4.225,0.5,4.75,23.5,66.5,38.5,28,2.75,21.25,0,0,0.25,0.25,0.25,3.5,0,5,1.25,1.25,100,0,1.25,1.75,77.7666666666667,3.75,94.75,25.325,0,30.75,3.25,16,3.6,0,7.5,5.5,263.5,48.225,17,5,13.25,36.55,0.5,1.25,50,9,73.25,331,0,0.25
"14",2018-09-09,08:20:00,"Home","GB","NFC North","CHI","NFC North",-6.5,45,24,23,"No",1,47,"O","Underdog","Favorite","CHI","GB",20.75,38.5,54.15,242.75,6.325,12.55,2,1,3.25,20.25,82.85,12.75,26.25,78,3.05,0.75,4.75,24.25,52,37.25,14.75,1.25,7.5,1,0.5,1.25,0.5,0,3,0,7.75,1.5,1.5,100,0,3.25,3.25,100,4.75,94.25,19.05,0,24.25,1.5,15,2.325,0,6.25,4.5,203.5,44.95,21.25,6.25,15,41.35,0.75,1.75,29.175,8.75,75.25,320.75,0,0.25,24.2,37.8,65.86,244.2,6.88,10.54,1.4,1.2,1.6,8.2,86.64,12.2,26.4,108.6,4.02,1,5.6,23.6,48.4,38.4,10,4,19.4,1,0.4,0.4,0.2,0,4,0,7.4,1.6,2.2,76.68,4.4,2.6,2.6,100,2.4,51.4,21,0,23.4,2.6,16.2,4.025,0,4.6,3.8,185.2,48.58,21.8,5.4,13.4,40.66,0.6,1.2,46.66,9.2,91.8,352.8,-0.4,0.6
"15",2018-09-10,07:10:00,"Home","DET","NFC North","NYJ","AFC East",-7,44,17,48,"No",-31,65,"O","Underdog","Underdog","NYJ","NYJ",24,39.25,60.6,191.25,4.85,8.75,1,0.5,3,17.75,77.55,10.75,24,90,3.7,1,5.25,27.75,52,39.75,12.25,0.5,3.5,0.25,0,0.5,0.5,0,5,0,5.75,1.25,1.75,79.175,0,2,2,100,3,56.25,21.85,0,25.75,2.75,28.5,9.85,0.25,23.25,5.5,264.25,48.075,20.25,3.75,13,28.1,1,1.25,66.675,7,65.75,281.25,0,0.25,17.25,28,61.9,157.5,5.65,9.95,1,0.75,2.5,12.25,79.3,9,25.5,70.75,2.8,0.25,3.25,11.75,60.5,42.25,18.25,2.25,10,1.25,0,1,0.5,0,4.25,0,6.25,1.75,1.75,100,0,1,1.25,83.3333333333333,1.75,40.75,23.8,0,26,2.25,24.25,13.4333333333333,0,12.75,5.75,283.5,49.625,14.25,4.75,13.75,34.15,0.25,1,12.5,8.75,76.25,228.25,0,0.75
"16",2018-09-10,10:20:00,"Away","LA","NFC West","LV","AFC West",-6.5,47.5,33,13,"No",20,46,"U","Favorite","Favorite","LA","LA",16.25,28,57.825,96.5,3.475,7.3,0.5,1.25,2.75,21.5,54.8,5.5,28.75,99.5,3.525,0.75,5.25,24,53.5,33.5,20,2.25,14.5,0.75,0,0.75,0.75,0,5.5,0,4.25,1,1.25,80,0,1.25,1.25,100,3.5,85.5,24.7,0,26.75,2.5,27.25,10.15,0,18.25,6.5,253,39.125,13,5,15,31.775,0.25,0.75,25,8,65.5,196,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2018-09-13,08:20:00,"Home","CIN","AFC North","BAL","AFC North",-1,43,34,23,"No",11,57,"O","Favorite","Favorite","CIN","CIN",21.6,34.2,63.72,262.8,7.68,12.42,1.8,0.8,1,6.2,95.54,12.2,26.4,94.8,3.64,0.8,4.8,20.6,61.2,45.2,16,3,21,0.8,0,0.8,0.8,0.2,5,0,10.2,2.6,2.6,100,0,2.4,2.6,93.34,2.6,60,22.42,0,27.6,2.2,15.2,4.92,0,8.4,5,224.8,45.44,20.2,4.4,12.6,35.26,0.2,0.4,20,8.8,77.6,357.6,0,0.4,18.5,30.3333333333333,60.4166666666667,178.166666666667,5.8,10.8,1.83333333333333,0.5,3.33333333333333,17.6666666666667,90.65,9.33333333333333,34.1666666666667,152,4.38333333333333,1.16666666666667,9.33333333333333,12.5,51.8333333333333,37.8333333333333,14,4.5,32.6666666666667,1.83333333333333,0.166666666666667,1.16666666666667,0.833333333333333,0,7,0,10,2.33333333333333,3.16666666666667,80.5666666666667,5.16666666666667,3,3,100,2.16666666666667,49.3333333333333,23.2666666666667,0,26.3333333333333,3.5,27.5,7.28333333333333,0,17.6666666666667,5.33333333333333,251.166666666667,48.4666666666667,21,3.83333333333333,13.5,27.4666666666667,0.666666666666667,0.666666666666667,66.6666666666667,7,57.5,330.166666666667,0.333333333333333,0.5
"18",2018-09-16,01:00:00,"Home","ATL","NFC South","CAR","NFC South",-5.5,44,31,24,"No",7,55,"O","Favorite","Favorite","ATL","ATL",17.4,34.4,50.64,185.4,5.42,11.6,0.4,1,3,15.2,60.9,8.4,21.2,72,3.44,0.4,3.6,22.8,57.8,45.6,12.2,2.6,13.8,1,0,0.2,0.6,0,3.8,0,3,0.8,1,66.6666666666667,0,0.6,0.8,66.6666666666667,2.2,48,21.925,0,21.6,2,8.2,4.2,0,5.8,6.2,284,46.14,13.4,4.2,13.6,31.3,0.2,1.8,6.66,8.8,72.6,257.4,0,0.2,22.2,34.2,64.88,234.2,6.96,11.36,1.2,0.4,2,12.6,91.72,12.4,28.4,123,4.24,1.8,7.8,20.8,56,36.8,19.2,2.2,12.8,0.4,0,0.8,0.4,0,3.6,0,6,1.2,1.4,75,0,2.4,2.4,100,2.6,52.2,20.2,0,21.4,2.2,27.4,10.24,0,17.8,4.4,198,44.56,23,5.8,12.6,45.9,0.4,0.6,30,8.2,75.6,357.2,0,0.6
"19",2018-09-16,01:00:00,"Away","LAC","AFC West","BUF","AFC East",-7.5,41.5,31,20,"No",11,51,"O","Favorite","Favorite","LAC","LAC",20.4,31.6,66.48,194,5.58,9.66,1.2,0.6,3,20,90.12,10,27.8,127.6,4.62,0.8,7.4,26.6,51.8,34,17.8,2,10.2,0.4,0,0.6,0.6,0,4,0,5.8,1.4,1.8,79.175,0,1.6,1.6,100,2.8,70.6,26.6,0,35,2.8,22.6,7.72,0.2,21,4.6,214.6,47.06,20.4,4.8,12.6,37.52,0.4,1,30,9,87.2,321.6,0,0.8,18.2,33.6,54.26,178.2,5.18,10.96,1.6,1,4.4,26.4,76.16,8.6,26,124,4.78,0.6,6.8,29,56.2,42.4,13.8,1.2,7,0.4,0,0.8,0.2,0,5,0,4,1,1.4,79.175,0,1,1.2,87.5,1.8,49,24,0,22.6,3.4,35,10.44,0,17.8,5.8,265.6,45.68,18.2,4.6,13.8,34.32,0.4,1,20,9.8,85.8,302.2,0,0
"20",2018-09-16,01:00:00,"Away","MIN","NFC North","GB","NFC North",-2,45,29,29,"Yes",0,58,"O","Underdog","Tie","GB","Tie",22.4,35.8,62.9,200.8,5.72,10.12,1.8,0.2,3,23.8,95.34,11.4,30.4,109,3.6,0.6,5.8,16.2,51.2,39.4,11.8,3.4,26.2,1.4,0.2,1,0.2,0,5.4,0,5.6,1.2,1.8,70,0,2,2,100,1.6,41.6,25.075,0,25.8,4,26.6,7.9,0,15.2,5.6,248.6,44.62,19.6,6,15.8,34.72,0.6,1.2,40,6.6,54,309.8,0,0.8,21.4,38.2,56.3,254.4,6.68,12.88,2.2,1,3.4,24.2,88.34,13,24.6,76.2,3.2,0.6,4.2,24,53.4,40.2,13.2,1.8,9.2,0.8,0.4,1.2,0.6,0,2.6,0,7.4,1.4,1.4,100,0,3.2,3.2,100,4.4,89,19.78,0,24.4,1.4,15.4,5.26,0,8.4,4.4,201.2,45.56,20.2,6,14.6,40.78,0.6,1.6,23.34,8.6,74.6,330.6,0,0.4
