"Date","Underdog","Favorite","UD.Comp","UD.PassAtt","UD.CompPCT","UD.PassYds","UD.PassYPA","UD.PassYPR","UD.PassTD","UD.OINT","UD.OSCK","UD.OSCKYDS","UD.QBR","UD.P1st","UD.RushAtt","UD.RushYds","UD.RushYPA","UD.RushTD","UD.R1st","UD.PA","UD.Tckl","UD.Solo","UD.AstTckl","UD.DSck","UD.DSCKYds","UD.INT","UD.INTTD","UD.FF","UD.FumRec","UD.FumTD","UD.PassDef","UD.Sfty","UD.KPts","UD.FGM","UD.FGA","UD.FGPct","UD.FGLng","UD.XPM","UD.XPA","UD.XPPct","UD.KR","UD.KRYds","UD.KRAvg","UD.KRTD","UD.KRLng","UD.PR","UD.PRYds","UD.PRAvg","UD.PRTD","UD.PRLng","UD.Punts","UD.PuntYds","UD.PuntAvg","UD.X1st","UD.X3rdCon","UD.X3rdAtt","UD.X3rdPct","UD.X4thCon","UD.X4thAtt","UD.X4thPct","UD.Pen","UD.PenYds","UD.TotYds","UD.PlusMinus","UD.FUML.turnovers","UD.PF"
2019-09-05,"GB","CHI",13.6666666666667,25.3333333333333,53.8,138,5.53333333333333,11.0666666666667,2,0.333333333333333,2,11.6666666666667,92.0666666666667,8.66666666666667,24.6666666666667,86.6666666666667,3.5,0.333333333333333,4,24,58.6666666666667,45.6666666666667,13,2,9,1.33333333333333,0.333333333333333,1.33333333333333,1,0.333333333333333,5,0,4.66666666666667,0.666666666666667,0.666666666666667,100,14.3333333333333,2.66666666666667,3,91.6666666666667,3.33333333333333,73,22.0333333333333,0,27,1.33333333333333,10.3333333333333,7.83333333333333,0,8,5,245.666666666667,48.8,15.3333333333333,4.66666666666667,11.3333333333333,41.0666666666667,0,0.333333333333333,0,9,72,224.666666666667,1,1,NA
2019-09-08,"CAR","LA",18.75,33,56.925,164.25,4.8,10.125,1.25,1,4,31.25,74.15,9.5,22.5,88,3.875,0.25,5,17.25,58.75,41.5,17.25,4,23.75,0.5,0,1,0.5,0,3.25,0,6.25,1.75,2,87.5,52.25,1,1,100,1.75,43,26.4333333333333,0,21.5,4,47.25,8.975,0,22.25,5.75,281,47.675,16.5,4.25,13.5,30.275,0.75,1,62.5,6.75,61.25,252.25,-0.5,0.5,NA
2019-09-08,"TEN","CLE",20.25,33,60.725,200.25,6.025,11.4,2,0,3.5,25.25,99.75,10.5,26.25,120.25,4.7,0,5.5,16.25,49.5,39,10.5,1.25,10.75,1,0,0.5,0.25,0,3.75,0.25,3.75,1,1.25,66.6666666666667,14.25,0.75,1.5,61.1,1.75,39.75,23,0,27.25,2.5,27.25,10.9666666666667,0,12.75,5.75,279,48.275,18.25,5.75,14,38.725,0,1.25,0,9,77.25,320.5,1,0.25,NA
2019-09-08,"JAC","KC",17.75,34.5,50.55,128.25,3.575,7.825,0.25,0.75,3.25,15.75,52.7,7,21,87.75,4.15,0.5,4,26.5,56,43.25,12.75,1,4.75,0.5,0,0.25,0.25,0,3.25,0,2.75,0.75,1,66.6666666666667,21.75,0.5,0.5,100,4,85.75,21,0,26.25,2.75,17.25,5.625,0,13,7,308.75,44.225,13.5,3.25,14.25,21.075,0.5,2,20.825,10.25,104.25,216,-0.5,0.5,NA
2019-09-08,"MIA","BAL",19.75,31.25,64.375,209.25,6.875,11.15,1,0.5,2.25,11.75,90.7,11,30,105,3.625,1,6,15.75,55.75,37.5,18.25,3.25,18.25,0.25,0,1,0.5,0,3,0,9,2.5,2.5,100,47.25,1.5,1.75,83.3333333333333,2.5,45.25,17.5,0,16.5,3.5,10.25,4.2,0,7.25,4.5,210.75,47,21,5,13.75,37.725,0.25,0.5,25,9,78,314.25,0,0.25,NA
2019-09-08,"ATL","MIN",19.4,34.6,56.42,182.8,5.36,10.3,0.4,0.4,3,17,73.84,9.6,30.6,137,4.28,1.6,7.8,20.2,53.8,32.2,21.6,1.8,9,0.2,0,1,0.8,0,3.2,0,4.6,1,2.2,43.32,27,1.6,1.6,100,1.8,38.6,21.875,0,20,2.8,11.4,4.78,0,8.4,5.4,231,43.86,19.8,4.6,14.4,31.78,0.4,1.6,13.34,11.4,106.2,319.8,-0.4,1.2,NA
2019-09-08,"BUF","NYJ",19.25,30.75,63.45,215.5,7.15,12,1,0.25,1.5,12,94.1,10.75,29,130.75,4.6,1.5,6.5,18.25,60.5,43,17.5,2,18.75,1,0.25,0.75,0.25,0,5.5,0,7.5,1.5,2,79.175,41.25,3,3,100,1.5,28.25,18.85,0,12.5,3,46.25,26.9,0.25,37.75,4.25,187.5,44.025,19.5,5.75,13.5,42.25,0.5,0.5,25,9.25,78.5,346.25,-0.5,1.5,NA
2019-09-08,"WAS","PHI",14.5,27.25,53.1,155.25,5.75,11.75,0.75,1,2.5,15.25,68.475,6.75,23.5,80.75,3.425,0.25,3.25,20,63.25,41.25,22,1.25,6.5,0.25,0.25,1,1.25,0,5.25,0,4.75,1.25,1.5,66.6666666666667,20.75,1,1.25,87.5,2.75,60,22.05,0,28,1.5,16.75,10.875,0,13.25,6,287.5,48.9,11.75,3.25,12.5,24.225,0,0.25,0,8,70.25,236,-0.5,1,NA
2019-09-08,"IND","LAC",24,38,63.325,244.5,6.475,11.025,0.75,1,2.75,18.75,78.325,12.75,25.75,95,3.7,0.75,5.25,19.5,49,37.25,11.75,2.5,19,0.25,0,0.75,0.75,0,3.25,0,6.5,1.75,2.25,79.175,42.5,1.25,1.25,100,2.5,55,22.05,0,29.25,2.25,8.25,5.075,0,8.75,4.75,215.25,45.1,20.25,4.75,14.25,33.575,1,2.25,33.325,9.75,87.5,339.5,-0.75,0.75,NA
2019-09-08,"CIN","SEA",29,43,67.6,262,6.1,9.625,1.5,0.75,2.75,17.25,90.225,12.75,18.75,56.75,2.775,0.25,3,22.25,46.25,33.75,12.5,2.25,14.5,0.5,0,0.75,1,0,3.75,0,5.25,1.25,2,75,48,1.5,1.75,88.9,3.5,89.25,24.975,0,31.25,3.25,32.75,7.725,0.25,22,5.25,221.75,42.3,18,5.25,14.25,36.9,0,1.25,0,7.75,68.75,318.75,0,0.75,NA
