"Date","Favorite","Underdog","Fav.Comp","Fav.PassAtt","Fav.CompPCT","Fav.PassYds","Fav.PassYPA","Fav.PassYPR","Fav.PassTD","Fav.OINT","Fav.OSCK","Fav.OSCKYDS","Fav.QBR","Fav.P1st","Fav.RushAtt","Fav.RushYds","Fav.RushYPA","Fav.RushTD","Fav.R1st","Fav.PA","Fav.Tckl","Fav.Solo","Fav.AstTckl","Fav.DSck","Fav.DSCKYds","Fav.INT","Fav.INTTD","Fav.FF","Fav.FumRec","Fav.FumTD","Fav.PassDef","Fav.Sfty","Fav.KPts","Fav.FGM","Fav.FGA","Fav.FGPct","Fav.FGLng","Fav.XPM","Fav.XPA","Fav.XPPct","Fav.KR","Fav.KRYds","Fav.KRAvg","Fav.KRTD","Fav.KRLng","Fav.PR","Fav.PRYds","Fav.PRAvg","Fav.PRTD","Fav.PRLng","Fav.Punts","Fav.PuntYds","Fav.PuntAvg","Fav.X1st","Fav.X3rdCon","Fav.X3rdAtt","Fav.X3rdPct","Fav.X4thCon","Fav.X4thAtt","Fav.X4thPct","Fav.Pen","Fav.PenYds","Fav.TotYds","Fav.PlusMinus","Fav.FUML.turnovers","Fav.PF"
2019-09-05,"CHI","GB",19.75,31.5,61.85,187.5,5.825,10.65,0.5,0.25,3.25,25.5,82.45,9,22,79.5,3.65,0.5,4,22.75,55.5,43.75,11.75,3.25,19.75,1,0.25,1,1,0.25,4.25,0,8,2.25,2.75,83.35,45.25,1.25,1.5,75,2.75,64,23.05,0,29.25,2.25,-3,-1.875,0,0.75,5.5,281.75,50.875,13.75,4.5,13.5,33.1,0.25,0.5,25,7.75,63.5,267,1.25,0.5,NA
2019-09-08,"LA","CAR",19.75,33,59.4,196.75,6.025,10.225,1,0.75,0.25,1.25,77.675,10.25,26.75,84,3.075,0.25,4,11,58,41.75,16.25,2.25,14.75,1.5,0,0.5,0.25,0,5.75,0,3.25,0.75,1.25,66.6666666666667,25.5,1,1,100,1.5,29.75,20.075,0,22.25,3.75,17.25,4.1,0,9.25,6.25,297.75,47.025,16.25,4.5,13.5,34,0.75,1.5,33.325,11.25,88.25,280.75,0.5,0.5,NA
2019-09-08,"CLE","TEN",21.5,38.5,56.125,216.5,5.65,10.525,1.5,0.75,2,14.25,80.125,12.75,20.5,74.75,3.55,0.25,4,14.25,55.25,45.5,9.75,4.75,35.75,0.75,0.25,0.5,0.25,0,3.25,0,7.25,1.75,2.25,75,33.25,2,2.25,91.6666666666667,2,42.5,18.5,0,21,4.75,50.5,11.275,0.25,29.5,5.5,253.75,46.025,19,3.5,12.75,25.75,0.25,0.75,25,9.25,87.75,291.25,-0.25,0.5,NA
2019-09-08,"KC","JAC",22,37,60.025,218.5,6,10.5,1.75,0.5,2.5,10.75,88.675,10.5,21.25,95.75,4.5,0.75,6.25,22,54.25,37.75,16.5,2.25,12.5,1,0,0.75,1,0,5.25,0,5.5,1,1.25,75,25.75,2.5,2.5,100,4.25,112.5,26.875,0,36.25,2.5,10.5,3.85,0,9.5,4.75,214.25,44.75,18,5.5,13,42.325,1.25,1.25,75,9.5,83.25,314.25,0.5,1,NA
2019-09-08,"BAL","MIA",17.75,31,57.775,185.25,6.05,10.825,1.25,0.5,0.75,6.25,82.825,7.25,32.75,123,3.55,0.75,8,8.75,43.5,31.75,11.75,3,15.75,0.75,0.25,0.25,0.25,0,4,0,11.75,3.25,3.25,100,51,2,2,100,1.25,25.75,20.375,0,22.25,3.25,25.5,8.525,0,16.25,4,186.75,47.55,16.75,6.5,15.25,42.875,1,1.5,41.675,7.25,65.5,308.25,0.5,0,NA
2019-09-08,"MIN","ATL",21.5,31.25,68.175,224.25,7.225,11.075,1.75,0.75,1,6.25,99.625,13.75,33.5,168.25,5.35,1.25,7,20,51,36.75,14.25,1.25,11.25,0.5,0.25,0.5,0.25,0,4.75,0,5.5,1,1.75,58.3333333333333,19.5,2.5,2.5,100,3.25,80,26.1,0,26.75,1.75,10.75,4.05,0,7,3.75,165.75,43.325,22.75,6.25,13.25,48.9,1,1,75,7.25,76,392.5,-0.25,0.25,NA
2019-09-08,"NYJ","BUF",25,34.5,71.2,204.25,5.825,8.5,1.25,1,1.75,8.75,89.75,10,26,76.5,3,0.25,3.5,17.25,57,37,20,2.5,15.25,0.5,0.25,1.25,1,0,3.25,0,5.25,1.5,2.25,85,44.5,0.75,1.75,55.5333333333333,2,40.25,19.75,0,23.25,4,28.5,7.625,0,18.5,5.5,257.5,46.825,16.25,5.25,14.75,33.725,0.25,0.75,25,8.5,68.75,280.75,0.25,0.25,NA
2019-09-08,"PHI","WAS",16,30,53.3,161,5.275,10.575,1,0.75,1.75,12,70.4,6.5,21.25,65.5,2.85,0.5,4.5,17.25,54.25,44.5,9.75,2.25,15.5,0.5,0,1.25,0.25,0,3.5,0,2.75,0.5,1,50,26.25,1.25,1.25,100,2.5,53.75,21.3,0,24,1.5,8.75,3.9,0,6,5.75,269.5,46.725,14,3.25,11.75,26.1,0.75,1.75,37.5,9.75,69,226.5,-0.5,0.5,NA
2019-09-08,"LAC","IND",18.5,28,66.45,184.5,6.7,11.025,0.5,1.25,2,13.25,73.05,9.25,27,136.5,4.95,1.5,7.25,20.75,58.75,40.25,18.5,1.25,9,1,0,0.75,0.5,0,3.5,0,4.5,1,1,100,28.5,1.5,2,75,2.25,43,17.625,0,21.25,2,30.75,15,0.25,26.75,4,184.75,47.35,18.5,4.5,11.25,40.775,0.25,1.25,6.25,8.25,76.25,321,0,0.25,NA
2019-09-08,"SEA","CIN",12,23,50.35,139.25,6.025,14.425,0.75,0.25,1.75,15,82.175,6.75,31.75,136.5,4.225,1,7,17.25,67.75,43,24.75,1.75,13.25,0.5,0.25,0.5,0.25,0,3.25,0.25,7.75,2,2.25,91.675,51.25,1.75,2,91.675,3.75,74.75,19.9,0,30.25,2,10.75,4.425,0,6,5,227.25,45.45,16,4.75,13,35.375,0.5,0.75,16.675,10.25,100,275.75,0.5,0,NA
2019-09-08,"DET","ARI",15.75,29,53.025,169.25,5.2,13.475,0.75,0.5,5,40.25,74.75,8.25,22,81.25,3.85,0.75,3.5,26.25,60,47,13,1,7.5,0.75,0,1,0.75,0.25,6,0.25,4.5,1,1.25,75,36.75,1.5,1.5,100,3.5,87.75,25.325,0,41.75,3,24,6.975,0,14,7.25,313.5,43.075,14.25,1.75,12,14.525,0.5,1.25,16.675,8.5,81,250.5,0.5,0.5,NA
2019-09-08,"DAL","NYG",25,42.25,59.475,221,5.225,9.6,1,0.5,2.75,19,78.2,10.25,22.75,75.5,3.225,0.5,4.5,11,53.75,38.5,15.25,3.25,16.75,2,0.25,1,0.75,0,5.25,0,6,1.5,2,68.75,27,1.5,1.75,66.6666666666667,1.25,28,24,0,19,3.25,19.75,7.325,0,13.25,6.25,287.75,45.75,19,4.5,15,29.425,0.5,1.75,16.675,10,84,296.5,1.25,1,NA
2019-09-08,"TB","SF",23.75,38.5,62.15,231,5.85,11.1,1.25,0.75,4.75,34.5,84.225,12.75,27,86.5,3.225,0.75,5.5,17.75,49.5,33.5,16,3.5,28.75,0.75,0,1,0.75,0,5.25,0,6.5,1.75,2,91.675,44.75,1.25,1.25,100,3.75,67.5,17.625,0,22.25,1.5,12.5,8.35,0,7,5.75,250.5,43.75,21.5,6.5,15.5,41.975,1,1.25,43.75,10.25,88.5,317.5,0.25,0.5,NA
2019-09-08,"NE","PIT",21.75,31,70.25,238.75,7.675,11.625,1.5,0.5,2.5,13.25,102.575,12.25,34,125.25,3.7,1.25,8,13.5,45.5,33.5,12,4.5,38,0.75,0,0,0,0,5.25,0,5.5,1.25,2,50,24.25,1.75,1.75,100,1.5,36.5,24.35,0,15.5,3.5,41,11.3,0,17,3.75,173.25,46.575,22.75,7.5,14,53.375,0.25,1,12.5,9.5,93.5,364,-0.25,0.5,NA
2019-09-09,"NO","HOU",21.75,33.75,64.825,215.75,6.275,10.375,1.5,0.5,2,12,92.65,11.5,27.5,127,4.6,0.25,7.25,20,55.5,34.75,20.75,1,4,0.5,0,0.25,0.5,0,3.75,0.25,8.75,2.5,2.75,93.3333333333333,31.25,1.25,1.25,100,4,95.75,23.25,0,30.75,3,38.25,8.65,0.25,27.25,4.25,209.25,48.6,21.25,5.5,13,41.65,0,0.5,0,9,84.75,342.75,0,0.5,NA
2019-09-09,"DEN","OAK",20.2,35,57.86,151.6,4.32,8.34,0.6,1.2,2.8,18.4,62.32,8.4,25.6,99.2,3.92,0.6,4.8,14.6,53.4,33.8,19.6,2.2,13.4,0.6,0,0.6,0.6,0,4.6,0,6.2,1.8,2,91.675,33,0.8,0.8,100,2,40,20.825,0,18.4,3.6,16.6,4.74,0,10,5.4,253.6,46.7,16.8,4.4,14.2,30.48,0.4,1.6,16.66,7.6,66.6,250.8,-0.4,0.4,NA
2019-09-12,"CAR","TB",20,34,58.7,174.6,4.98,10.02,1,1,3.8,29.6,73.74,10.2,22.6,95.8,4.2,0.8,5.6,19.8,59,41.4,17.6,3.4,19.6,0.6,0,0.8,0.4,0,3.8,0,6.8,1.8,2.2,83.34,52.2,1.4,1.4,100,1.8,44.6,26.2,0,22.4,3.6,43.8,10.18,0,21,5.4,263.4,47.8,17.4,4.4,13,33.32,0.6,0.8,50,6.6,58.2,270.4,-0.8,0.8,27
2019-09-15,"BAL","ARI",18.8,30,63.92,223.8,7.74,11.96,2.2,0.4,0.8,5.2,97.92,9.2,35.4,151.4,4,1,8.4,9,41,30.4,10.6,3,14.8,1,0.2,0.2,0.4,0,5,0,11.6,2.8,2.8,100,47.6,3.2,3.2,100,1.2,22.4,18.1,0,19.6,3,26.2,9.72,0,16,3.4,160.6,49.24,19.6,6.6,14.4,47.02,1.2,1.6,53.34,6.6,60.4,375.2,1,0,59
2019-09-15,"CIN","SF",30.2,44.6,67.8,288.6,6.42,10.08,1.6,0.6,3.2,18.4,93.48,13.8,17.8,52.2,2.7,0.2,2.6,22,47.4,31.8,15.6,2.6,18.6,0.4,0,0.8,1,0,3,0,5.8,1.4,2.2,73.34,46.2,1.6,1.8,91.675,2.8,71.4,24.975,0,25,3.4,33,7.88,0.2,19.8,5,212.8,42.7,18.8,5.4,14.4,37.52,0,1.2,0,7.6,66.4,340.8,-0.4,1.2,20
2019-09-15,"LAC","DET",19.8,29.2,67.86,209.6,7.18,11.48,1,1.2,2.4,15.2,82.7,10.2,25.8,134.2,5.16,1.4,7.6,21.4,60.6,40.6,20,1.4,10.6,0.8,0,0.6,0.4,0,3,0,4.8,1,1,100,30.8,1.8,2.2,80,2,43,22.7,0,25.6,1.8,24.6,11.25,0.2,21.4,3.6,167.4,47.68,19.8,5,11.2,45.34,0.2,1,5,7.2,65,343.8,-0.4,0.4,30
2019-09-15,"GB","MIN",14.75,26.5,55.35,145,5.525,11.125,1.75,0.25,2.75,18,91.9,9,24,76.75,3.15,0.25,3.25,18.75,57.75,43.5,14.25,2.75,11.75,1.25,0.25,1,0.75,0.25,6,0,4.5,0.75,0.75,100,20.5,2.25,2.5,93.75,2.5,54.75,22.0333333333333,0,20.25,1.25,8,6.125,0,6.25,6,291.25,48.5,14.75,4,11.5,34.975,0,0.25,0,9.25,71.75,221.75,1,0.75,10
2019-09-15,"HOU","JAC",19.6,32.8,58.8,193.2,5.72,10.8,1.4,1.6,4,21.8,71.62,10.6,26.6,133.6,5.1,0.8,6.8,27.4,56.6,36.6,20,0.8,5.8,0.8,0,0.8,0.6,0,3.2,0,5.6,1.2,1.2,100,27.6,2,2.2,91.675,2.2,50.4,21.46,0,25.2,3,19.4,6.4,0,11.4,4.8,206.8,42.12,19,5,13.4,38,0.8,1.6,46.66,8,80.2,326.8,-1.2,1,28
2019-09-15,"NE","MIA",22.4,32.2,69.72,264.2,8.12,12.28,1.8,0.4,2.2,12,107.54,12.8,33,120,3.64,1,8,11.4,47,34.6,12.4,3.8,30.4,0.8,0,0.2,0,0,6,0,7.4,1.8,2.4,60,27.6,2,2,100,1.6,36.2,22.0666666666667,0,16.4,3.2,39.8,12.54,0,17.6,3.6,163.2,45.46,23,7.4,14,52.7,0.2,0.8,10,9,85.8,384.2,0,0.4,33
2019-09-15,"BUF","NYG",20.2,32,63.74,220.8,7.02,11.72,1,0.6,1.4,12,89.52,10.8,28.2,130.2,4.7,1.4,6.8,17.8,61,41.6,19.4,2.4,19,0.8,0.2,0.6,0.4,0,6,0,7,1.4,1.8,83.34,41.6,2.8,2.8,100,1.2,22.6,18.85,0,10,2.6,39,23.52,0.2,32.2,4,176,43.88,20.2,5.6,12.8,43.8,0.4,0.6,20,8.8,73.8,351,-1,1.6,17
2019-09-15,"PIT","SEA",20.2,34.8,58.22,222.2,6.5,11.82,1.4,1,1.8,13.2,82.12,10.4,21.6,78.6,3.3,0.2,3.8,19.8,63.6,45,18.6,4.2,27.8,0.4,0,1.8,1.2,0.2,4.4,0.2,6.2,1.6,1.8,93.34,38.4,1.4,1.6,87.5,2,43.2,21.3,0,20.4,2.8,31.8,11.075,0,19.6,5.2,240.8,46.68,16.6,4.6,13.2,35.08,0.4,1,16.66,7.2,55.8,300.8,0.2,0.4,3
