"Date","Underdog","Favorite","UD.Comp","UD.PassAtt","UD.CompPCT","UD.PassYds","UD.PassYPA","UD.PassYPR","UD.PassTD","UD.OINT","UD.OSCK","UD.OSCKYDS","UD.QBR","UD.P1st","UD.RushAtt","UD.RushYds","UD.RushYPA","UD.RushTD","UD.R1st","UD.PA","UD.Tckl","UD.Solo","UD.AstTckl","UD.DSck","UD.DSCKYds","UD.INT","UD.INTTD","UD.FF","UD.FumRec","UD.FumTD","UD.PassDef","UD.Sfty","UD.KPts","UD.FGM","UD.FGA","UD.FGPct","UD.FGLng","UD.XPM","UD.XPA","UD.XPPct","UD.KR","UD.KRYds","UD.KRAvg","UD.KRTD","UD.KRLng","UD.PR","UD.PRYds","UD.PRAvg","UD.PRTD","UD.PRLng","UD.Punts","UD.PuntYds","UD.PuntAvg","UD.X1st","UD.X3rdCon","UD.X3rdAtt","UD.X3rdPct","UD.X4thCon","UD.X4thAtt","UD.X4thPct","UD.Pen","UD.PenYds","UD.TotYds","UD.PlusMinus","UD.FUML.turnovers","UD.PF"
2020-09-13,"ARI","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-13,"DAL","LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-14,"NYG","PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-14,"DEN","TEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-17,"CIN","CLE",23,36,63.9,173,4.8,8.4,0,1,3,20,66.1,14,28,122,4.4,1,5,16,70,39,31,2,1,0,0,0,0,0,5,0,7,2,3,66.7,50,1,1,100,1,44,44,0,44,2,29,14.5,0,22,6,330,55,19,6,14,42.9,0,0,0,7,44,295,-2,1,13
2020-09-20,"NYG","CHI",26,41,63.4,262,6.4,10.7,2,2,3,17,79.2,16,20,29,1.5,0,2,26,61,42,19,2,21,0,0,1,1,0,3,0,4,1,1,100,21,1,1,100,0,0,NA,0,0,3,39,13,0,20,5,193,38.6,20,8,15,53.3,1,1,100,4,25,291,-1,0,16
2020-09-20,"ATL","DAL",37,54,68.5,434,8,12.2,2,1,2,16,98.5,23,21,72,3.4,1,4,38,61,34,27,3,23,0,0,0,0,0,1,0,7,2,2,100,49,1,2,50,0,0,NA,0,0,1,8,8,0,8,2,100,50,28,7,14,50,0,4,0,6,72,506,-2,1,25
2020-09-20,"DET","GB",24,42,57.1,288,6.9,12.4,1,1,1,9,77.2,14,29,138,4.8,1,7,27,52,40,12,1,28,0,0,1,0,0,3,0,11,3,4,75,44,2,2,100,2,66,33,0,35,1,16,16,0,16,4,197,49.3,25,6,16,37.5,0,0,0,8,77,426,-1,0,23
2020-09-20,"MIN","IND",19,25,76,248,9.9,13.6,2,1,2,11,118.6,12,22,134,6.1,2,10,43,62,50,12,0,0,0,0,1,0,0,1,0,4,1,1,100,35,1,1,100,2,64,32,0,38,0,0,NA,0,0,2,80,40,25,3,6,50,0,1,0,5,20,382,-1,0,34
2020-09-20,"MIA","BUF",20,30,66.7,182,6.1,9.6,0,3,1,9,44.6,11,27,87,3.2,1,6,21,70,54,16,2,15,0,0,1,0,0,3,0,3,1,1,100,46,0,0,NA,0,0,NA,0,0,1,-3,-3,0,-3,3,152,50.7,20,4,11,36.4,0,0,0,4,35,269,-2,0,11
2020-09-20,"NYJ","SF",21,35,60,202,5.8,10.2,1,1,3,13,75.3,8,15,52,3.5,1,4,27,78,53,25,3,6,0,0,2,2,0,6,0,5,1,1,100,31,2,2,100,2,32,16,0,16,0,0,NA,0,0,6,278,46.3,15,4,11,36.4,0,0,0,9,95,254,0,1,17
2020-09-20,"LA","PHI",20,31,64.5,269,8.7,13.8,0,1,1,6,79.4,12,40,153,3.8,2,11,17,62,45,17,3,22,0,0,0,0,0,4,0,8,2,3,66.7,35,2,2,100,1,20,20,0,20,0,0,NA,0,0,3,142,47.3,23,9,17,52.9,1,1,100,5,34,422,-1,0,20
2020-09-20,"DEN","PIT",22,33,66.7,216,6.5,9.8,1,0,0,0,95,12,26,107,4.1,1,6,16,71,51,20,1,2,0,0,0,0,0,5,0,2,0,0,NA,0,2,2,100,0,0,NA,0,0,2,16,8,0,9,5,244,48.8,19,3,9,33.3,0,1,0,5,56,323,-1,1,14
2020-09-20,"CAR","TB",22,34,64.7,259,7.6,12.2,1,0,1,10,98.8,13,30,129,4.3,2,8,34,62,36,26,0,0,0,0,1,0,0,4,0,10,3,3,100,47,1,2,50,4,109,27.3,0,38,2,29,14.5,0,19,2,120,60,22,7,13,53.8,1,2,50,5,65,388,0,0,30
2020-09-20,"JAC","TEN",19,20,95,150,7.5,9.1,3,0,4,23,142.3,11,23,91,4,0,4,20,64,45,19,1,6,2,0,0,0,0,5,0,9,2,2,100,50,3,3,100,2,50,25,0,39,0,0,NA,0,0,3,136,45.3,17,5,10,50,0,0,0,6,61,241,2,0,27
2020-09-20,"WAS","ARI",17,31,54.8,159,5.1,10.5,1,0,3,19,82.5,11,36,80,2.2,2,5,17,58,35,23,8,62,2,0,2,1,0,3,0,9,2,3,66.7,40,3,3,100,0,0,NA,0,0,5,17,3.4,0,11,7,329,47,18,5,18,27.8,1,2,50,7,55,239,3,0,27
2020-09-20,"HOU","BAL",20,32,62.5,242,7.6,12.6,1,1,4,11,84.5,13,22,118,5.4,2,8,34,62,49,13,1,8,0,0,0,0,0,2,0,2,0,1,0,0,2,2,100,3,66,22,0,23,1,19,19,0,19,3,123,41,21,4,10,40,1,1,100,5,37,360,-1,0,20
2020-09-20,"LAC","KC",16,30,53.3,207,6.9,13,0,0,2,1,75.4,10,39,155,4,1,7,13,62,45,17,3,20,1,0,1,1,0,3,0,10,3,4,75,43,1,1,100,1,46,46,0,46,2,7,3.5,0,7,5,244,48.8,19,6,16,37.5,0,2,0,6,35,362,2,0,16
2020-09-20,"NE","SEA",15,19,78.9,140,7.4,10.3,0,0,2,15,100.7,8,42,217,5.2,3,18,11,65,46,19,1,9,3,0,0,0,0,5,0,3,0,1,0,0,3,3,100,0,0,NA,0,0,1,0,0,0,0,3,119,39.7,29,5,10,50,1,1,100,3,47,357,2,1,21
2020-09-21,"LV","NO",22,30,73.3,239,8,10.9,1,0,0,0,107.5,11,31,133,4.3,3,10,30,65,35,30,1,10,0,0,0,0,0,4,0,10,2,2,100,54,4,4,100,0,0,NA,0,0,2,37,18.5,0,27,3,127,42.3,23,6,11,54.5,0,0,0,3,40,372,0,0,34
2020-09-24,"MIA","JAC",25.5,38.5,66.35,246.5,6.35,10.1,1,1.5,2,13,72.45,15.5,24.5,93,3.85,1,6,26,65.5,42.5,23,1.5,9.5,0,0,1,0.5,0,2.5,0,5.5,1.5,1.5,100,49,1,1,100,0,0,NA,0,0,1.5,4,1.25,0,3.5,4,207,51.55,24,4.5,11.5,39.05,0,0.5,0,3.5,27.5,339.5,-0.5,0,19.5
2020-09-27,"CHI","ATL",19,32,59.95,191.5,5.95,11.35,2.5,1,2.5,24.5,91.1,13,30,142,4.75,0,7,18,56,42.5,13.5,2.5,15,1,0,0.5,0.5,0,5.5,0,7,1.5,2,75,34.5,2.5,2.5,100,3.5,101.5,30,0,37.5,0.5,0,0,0,0,4,173.5,43.65,22,5.5,13.5,37.25,1,1.5,75,5.5,48,333.5,0.5,0,22
2020-09-27,"LA","BUF",20,29,69.3,263.5,9.15,13.6,1.5,0.5,1,7.5,110.75,14.5,39.5,172,4.35,2,11,18,61.5,42,19.5,1.5,11,1,0,0.5,0.5,0,4.5,0,7.5,1.5,2,83.35,32.5,3,3.5,90,1,19.5,19.5,0,19.5,0.5,4,8,0,4,2.5,119,47.65,26.5,8,14.5,55.6,1,1,100,4.5,29,435.5,0.5,0.5,28.5
2020-09-27,"WAS","CLE",18,32,56.2,179,5.55,11.1,1,0,3.5,21.5,85.4,10.5,29.5,98.5,3.65,1.5,6,23.5,61.5,43,18.5,5.5,35,1.5,0,1.5,0.5,0,2,0,6,1.5,2,83.35,32,1.5,1.5,100,1.5,21,14,0,10,4,17,4.55,0,11.5,6.5,306.5,47.15,18.5,4.5,15,30.55,1,1.5,75,6.5,48.5,277.5,1,1,21
2020-09-27,"MIN","TEN",15,25.5,59.15,171.5,6.8,11.95,1,2,2.5,14.5,67.25,8.5,20,107,5.25,1.5,6.5,35.5,66,53,13,1,5.5,0.5,0,1,0,0,2,0,3.5,1,1,100,28,0.5,0.5,100,3,70.5,25.65,0,32,0,0,NA,0,0,3,124,41,18.5,2.5,7.5,36.1,0,0.5,0,5.5,32.5,278.5,-1.5,0,22.5
2020-09-27,"LV","NE",25,34,73.5,250,7.45,10.5,2,0,1.5,11.5,114.2,14.5,33,124.5,3.8,2,7.5,27,54.5,37.5,17,0.5,5,0.5,0,0,0,0,4,0,10,2,2,100,54,4,4,100,1,23,23,0,15,1.5,21,11.75,0,16,2.5,102.5,40.65,25.5,8,14,56.65,1,1,50,3,26.5,374.5,0,0.5,34
2020-09-27,"NYG","SF",25.5,40.5,62.95,241,5.95,10.15,1,1.5,3.5,19,74.05,15.5,19,52,2.85,0.5,3,21.5,60,44.5,15.5,3,21,1,0,1,0.5,0,4.5,0,5.5,1.5,2,83.35,30,1,1,100,1,28,28,0,17,2,25,12,0,15.5,4,183.5,48.3,21,5.5,14,38.2,2,2,100,3.5,17.5,293,-0.5,0.5,14.5
2020-09-27,"CIN","PHI",30,48.5,62.3,229,4.75,8.45,1.5,0.5,3,25.5,78.35,17,26,95,3.6,0.5,6,25.5,65.5,32.5,33,1,0.5,0.5,0,0,0,0,3,0,9.5,2.5,3,83.35,46.5,2,2,100,1.5,65.5,43.75,0,44.5,1,14.5,14.5,0,11,4,214,52,24.5,7,16,43.65,2.5,2.5,50,5.5,44.5,324,-1,1,21.5
2020-09-27,"HOU","PIT",22.5,34,65.95,247.5,7.3,11.8,1,1,4,16.5,87,14,19.5,84.5,4.2,1,5,33.5,64.5,45.5,19,2.5,17.5,0,0,0,0,0,2.5,0,6,1.5,2,50,22.5,1.5,1.5,100,2,41.5,19.5,0,20,1,14.5,14.5,0,14.5,3,131.5,43.85,19.5,3.5,9.5,36.65,0.5,1,50,4.5,29.5,332,-1.5,0.5,18
2020-09-27,"NYJ","IND",21,33.5,62.8,187.5,5.6,9.35,1,0.5,2,9.5,82.9,9,22,78,3.55,0.5,4.5,29,66.5,46,20.5,3,15.5,0.5,0,1.5,1,0,4.5,0,6,1.5,1.5,100,36,1.5,1.5,100,2.5,54,20.65,0,24,0,0,NA,0,0,5.5,250,45.35,16,4.5,12.5,36.05,0,1,0,7,80,265.5,0.5,0.5,15
2020-09-27,"CAR","LAC",27.5,38,71.65,299.5,7.85,11.65,0.5,1,3,18.5,91,15.5,27,108,3.95,2,6.5,32.5,55,33,22,0,0,0.5,0,0.5,0.5,0,3,0,7.5,2,2,100,35,1.5,2,75,2,54.5,27.3,0,19,2,14,7,0,9.5,2,110.5,55.25,23,6.5,12,54.15,1,2,50,7,71,407.5,-1,1,23.5
2020-09-27,"DET","ARI",22,37.5,58.85,253,6.75,12.3,1.5,1,2.5,17.5,84.1,12,25,113.5,4.5,1,7.5,34.5,55.5,40.5,15,1,19.5,0,0,0.5,0,0,3.5,0,7,1.5,2.5,37.5,22,2.5,2.5,100,1.5,46.5,30,0,31,0.5,8,16,0,8,4.5,234,51.75,22,6,14,43.75,0,0.5,0,7.5,73.5,366.5,-1,0,22
2020-09-27,"DEN","TB",20.5,36,57.7,215.5,6,12.15,1.5,0.5,3.5,30.5,86.8,12,26,105.5,4.05,0.5,5.5,21,61.5,46.5,15,1,6,0.5,0,0.5,0.5,0,5,0,4.5,1,1.5,66.7,24.5,1.5,1.5,100,1.5,28,18.7,0,11,2,15.5,7.75,0,9,4.5,206.5,45.55,21,4,12,33.3,0,1.5,0,4.5,43,321,-0.5,1,17.5
2020-09-27,"DAL","SEA",29.5,44,66.75,344.5,7.7,11.9,1,0,2,13.5,98.75,17,29,130.5,4.5,2.5,9,29.5,72.5,44.5,28,1,6,0.5,0,0,0,0,4,0,7.5,1.5,2,75,39.5,3,3,100,3.5,77,22.6,0,29,1,11.5,11.5,0,11.5,2.5,99.5,41,28.5,5,12.5,39.4,0.5,2.5,16.65,7,62.5,475,-1,1.5,28.5
2020-09-27,"GB","NO",25,37,66.35,296.5,7.95,12.35,3,0,0.5,5.5,117.55,15,33.5,208.5,6.15,1.5,10,27.5,49,32.5,16.5,3,18.5,1,0.5,0,0,0,2.5,0.5,10.5,2,2,100,43,4.5,4.5,100,1.5,26,17.5,0,18.5,1.5,3,1.5,0,3,2,84,41.35,28.5,6,11.5,52.25,1,1.5,75,7,61.5,505,1,0,42.5
2020-09-28,"KC","BAL",25.5,39.5,66.2,246,6.2,10,2.5,0,1,10.5,107.1,15.5,28,145.5,5.3,0.5,8.5,20,66,42.5,23.5,3,13,1,0,0,0,0,2.5,0,9.5,2.5,2.5,100,43.5,2,2.5,50,1.5,39.5,27.5,0,29.5,0.5,8,16,0,8,4,178.5,44.75,25.5,7,14,50.25,1,1,100,6,47.5,391.5,1,0,28.5
2020-10-01,"DEN","NYJ",22,37,59.8333333333333,205,5.56666666666667,11.1666666666667,1.33333333333333,1,4.33333333333333,35.3333333333333,80.2333333333333,11,22,84.3333333333333,3.7,0.333333333333333,4.33333333333333,23.3333333333333,58.6666666666667,44,14.6666666666667,1.33333333333333,8,0.333333333333333,0,0.333333333333333,0.333333333333333,0,4.33333333333333,0,4.33333333333333,1,1.33333333333333,83.35,35,1.33333333333333,1.33333333333333,100,1,18.6666666666667,18.7,0,7.33333333333333,1.33333333333333,10.3333333333333,7.75,0,6,5,213,42.9333333333333,18.3333333333333,4.33333333333333,12.6666666666667,34.1,0,1.33333333333333,0,4.33333333333333,38.6666666666667,289.333333333333,-1,0.666666666666667,15
2020-10-04,"CAR","ARI",25.6666666666667,34.6666666666667,73.9666666666667,273.333333333333,7.86666666666667,11.3333333333333,0.666666666666667,0.666666666666667,2.66666666666667,17,98.5,13.6666666666667,25,99,3.93333333333333,1.33333333333333,5,27,61.6666666666667,37.3333333333333,24.3333333333333,0.666666666666667,3.66666666666667,0.666666666666667,0,1,1.33333333333333,0,4.33333333333333,0,10,3,3,100,33.6666666666667,1,1.66666666666667,50,1.66666666666667,48,31.15,0,24.3333333333333,1.66666666666667,12,7.33333333333333,0,9,2.66666666666667,136.666666666667,52.6,20,5.33333333333333,12,44.4333333333333,0.666666666666667,1.33333333333333,33.3333333333333,5.66666666666667,57.3333333333333,372.333333333333,0.666666666666667,0.666666666666667,22.6666666666667
2020-10-04,"CHI","IND",22.3333333333333,38.3333333333333,58.9333333333333,230,5.96666666666667,11.2,3,1.33333333333333,2.33333333333333,19.3333333333333,89.1,13.3333333333333,28.3333333333333,138,4.9,0,7.33333333333333,20.6666666666667,54.6666666666667,40,14.6666666666667,2.33333333333333,13.6666666666667,1,0,0.666666666666667,0.333333333333333,0,5.33333333333333,0,6.66666666666667,1.33333333333333,2,66.6666666666667,34.6666666666667,2.66666666666667,2.66666666666667,100,3.33333333333333,98,30.1,0,38.3333333333333,0.666666666666667,2,3,0,2,4,187.333333333333,47.0333333333333,22.6666666666667,5,14,33.7333333333333,1,1.66666666666667,66.6666666666667,7,58.6666666666667,368,0,0,24.6666666666667
2020-10-04,"JAC","CIN",26.3333333333333,35.6666666666667,77.7,237,6.8,9.86666666666667,2,1,3.33333333333333,25.3333333333333,104.666666666667,15,22.3333333333333,109.333333333333,4.76666666666667,1,6,28,61.3333333333333,42,19.3333333333333,1,6,0.666666666666667,0,0,0,0,2.33333333333333,0,5.33333333333333,1,1,100,28.3333333333333,2.33333333333333,3,75,1.33333333333333,24.6666666666667,16.3333333333333,0,21,0.666666666666667,2.66666666666667,4,0,2.66666666666667,2.66666666666667,124.333333333333,45.8666666666667,23,6,11.3333333333333,50.4666666666667,0.333333333333333,1.33333333333333,33.3333333333333,7.33333333333333,61.3333333333333,346.333333333333,-0.666666666666667,0.333333333333333,23.3333333333333
2020-10-04,"CLE","DAL",17.6666666666667,28.3333333333333,64.3333333333333,176.333333333333,6.66666666666667,10.8333333333333,1.66666666666667,0.666666666666667,1.33333333333333,11.6666666666667,97.6333333333333,10.3333333333333,33,170.333333333333,5.16666666666667,1.66666666666667,8.66666666666667,29.3333333333333,59,40.3333333333333,18.6666666666667,2.66666666666667,21,1,0,1.66666666666667,1.33333333333333,0,4.33333333333333,0,5,0.666666666666667,1,50,14,3,3.33333333333333,66.6666666666667,0.333333333333333,10.3333333333333,31,0,10.3333333333333,1.33333333333333,8.33333333333333,6.5,0,8.33333333333333,3,136.333333333333,44.8333333333333,20.6666666666667,4.33333333333333,11.3333333333333,41.0666666666667,0.666666666666667,2,50,7.33333333333333,68.6666666666667,346.666666666667,1,0.666666666666667,25
