"Date","Favorite","Underdog","Fav.Comp","Fav.PassAtt","Fav.CompPCT","Fav.PassYds","Fav.PassYPA","Fav.PassYPR","Fav.PassTD","Fav.OINT","Fav.OSCK","Fav.OSCKYDS","Fav.QBR","Fav.P1st","Fav.RushAtt","Fav.RushYds","Fav.RushYPA","Fav.RushTD","Fav.R1st","Fav.PA","Fav.Tckl","Fav.Solo","Fav.AstTckl","Fav.DSck","Fav.DSCKYds","Fav.INT","Fav.INTTD","Fav.FF","Fav.FumRec","Fav.FumTD","Fav.PassDef","Fav.Sfty","Fav.KPts","Fav.FGM","Fav.FGA","Fav.FGPct","Fav.FGLng","Fav.XPM","Fav.XPA","Fav.XPPct","Fav.KR","Fav.KRYds","Fav.KRAvg","Fav.KRTD","Fav.KRLng","Fav.PR","Fav.PRYds","Fav.PRAvg","Fav.PRTD","Fav.PRLng","Fav.Punts","Fav.PuntYds","Fav.PuntAvg","Fav.1st","Fav.3rdCon","Fav.3rdAtt","Fav.3rdPct","Fav.4thCon","Fav.4thAtt","Fav.4thPct","Fav.Pen","Fav.PenYds","Fav.TotYds","Fav.PlusMinus","Fav.FUML.turnovers"
2018-09-06,"PHI","ATL",23.5,40.75,57.975,226.5,5.575,10.95,1.5,2,5,30,67.175,11.5,22.25,100,4.35,0,6.25,20.5,58,43.25,14.75,3,17,0.75,0,0.75,0.25,0,3.5,0,1.5,0.25,0.5,50,0,0.75,1,83.35,3,74.5,24.85,0,19.25,3,20.25,7.625,0,16.5,5.5,271.25,49.5,19.25,4,14,27.425,0.5,2.25,14.575,7.75,70.25,326.5,0,1.25
2018-09-09,"BAL","BUF",17,28.8,58.82,163.4,5.64,10.96,1.6,0.6,3.6,19.6,86,8.6,34.2,159,4.58,0.8,9,14.4,54,38.4,15.6,4.2,33.6,1.8,0.2,1.4,1,0,6,0,9.8,2.4,3.4,76.68,6.2,2.6,2.6,100,2.4,54.4,23.12,0,26.8,3,22.2,6.94,0,11,5.4,250,47.88,20,3.4,13.4,24.38,0.8,0.8,80,6.6,53.4,322.4,0.4,0.4
2018-09-09,"PIT","CLE",18.5,29.5,62.7,232,8.3,14.175,2.25,1,2.25,15.5,104.075,10,27.25,97.75,3.55,1.25,5.75,23.75,61.25,39.75,21.5,3.5,23.5,1,0,1.75,1,0,3.25,0,7.5,1.75,1.75,100,0,2.25,2.25,100,2.75,54.25,17.675,0,20.75,2,12.5,6.76666666666667,0,6.25,5,226.75,45.45,19,3.75,12.25,31.825,0.25,0.75,25,9,83.5,329.75,0,0
2018-09-09,"CIN","IND",21.75,35.75,60.9,271.25,7.55,12.625,1.75,0.75,0.75,4.25,92,12.5,28,93.25,3.275,0.75,4.75,20,60.25,42,18.25,3.25,22.75,0.75,0,0.75,0.75,0,4.75,0,10.25,2.75,2.75,100,0,2,2.25,91.675,2.75,64.5,22.775,0,27.5,2.5,19.25,6.4,0,10.75,5.75,257,44.8,20.5,4.5,13.75,31.575,0.25,0.5,25,9,73.5,364.5,0,0.25
2018-09-09,"TEN","MIA",19.5,32.75,59.2,183,5.425,10.225,1.25,0.5,3,19.75,82.425,9.5,22.75,71.25,3.15,0,3.25,22.5,62.5,42.5,20,1.5,14.5,0.5,0,1.25,0.25,0,5.5,0,2.5,0.5,0.5,100,0,1,1,100,3,75,24.925,0,36.75,2.25,4.5,1.875,0,4.75,6.25,281.75,44.275,16,4.75,14,33.8,0.5,2,16.675,11.25,100.5,254.25,0,0.5
2018-09-09,"MIN","SF",23,35.75,64.725,194.25,5.575,9.6,1.75,0.25,3,25.5,95.4,10.5,30,107.25,3.6,0.75,6.5,16.25,52.5,39.5,13,3.5,26.75,1,0,0.75,0,0,4.5,0,5.5,1.25,2,62.5,0,1.75,1.75,100,2,52,25.075,0,32.25,4.25,31.5,9.3,0,17,5.5,253.25,46.2,19.75,5.75,15.5,33.1,0.75,1.25,50,6.5,54.5,301.5,0,0.75
2018-09-09,"NE","HOU",22,35.5,61.825,179,5.075,8.475,1,0.5,1,5.25,77.725,8.75,29.25,134.75,4.625,1.25,8.5,18.5,64.5,37.5,27,3.5,22.75,0.75,0,1,0.5,0.25,4.75,0,7,1.75,2,91.675,0,1.75,1.75,100,2,31.5,17.5,0,16.75,2.25,6.5,2.025,0,4,5.5,268.75,48.675,21.25,5.25,14.25,36.625,0.75,1,37.5,6,66,313.75,0,0.5
2018-09-09,"NO","TB",18,25,71.675,164.25,6.6,10.125,0.5,1,2,13,81.675,8.25,33,155,4.75,2,11.5,11.75,55.75,39.75,16,3.5,21.75,0.75,0.25,1.25,0.75,0,4.5,0,6.25,1.75,1.75,100,0,1,1,100,2.5,71.75,27.4,0,24.75,2.25,14.25,5.25,0,8.25,2.5,118.25,47.3,21.5,5,12,41.3,1.25,1.75,75,6,55.75,319.25,0,0.75
2018-09-09,"JAC","NYG",21.5,32,67.025,208.75,6.625,11.1,0.25,0.75,4.5,26,80.85,11.5,30.25,117.5,3.825,1.75,7.5,12.5,47.75,42,5.75,3.5,21,0.25,0,1,0.75,0.25,4.75,0,5.5,1.25,1.75,62.5,0,1.75,1.75,100,2.75,57.75,22.525,0,29,2.75,26.75,5.175,0,16.5,4,170.75,42.95,20.75,6,14,42.975,1,1.5,66.675,7.5,70,326.25,0,0.25
2018-09-09,"LAC","KC",17,26.75,66.425,138,4.925,8.95,0.75,0.5,3.5,23.5,86.725,6.75,29.25,128.75,4.375,1,7.5,23.75,53,35.25,17.75,2.25,12.75,0.5,0,0.75,0.75,0,3.75,0,5.75,1.25,1.5,83.3333333333333,0,2,2,100,3,79.25,28.75,0,38,3,29.5,10.275,0.25,26.5,5,232.25,46.825,17.25,5.25,13,40.075,0.25,1,12.5,9.5,97.75,266.75,0,0.75
